verdict,domain,split
תפ_41783-12-17,drugs,train
תפ_29504-09-13,drugs,train
תפ_51899-07-21,drugs,train
תפ_19468-03-18,drugs,test
תפ_64232-11-22,drugs,train
תפ_54026-01-20,drugs,test
תפ_32243-08-21,drugs,train
תפ_4606-08-20,drugs,train
תפ_65573-01-18,drugs,train
תפ_67471-06-18,drugs,test
תפ_19985-04-14,drugs,train
תפ_23190-04-21,drugs,test
תפ_30580-02-21,drugs,train
תפ_18011-01-20,drugs,train
תפ_39019-05-15,drugs,test
תפ_16982-03-21,drugs,train
תפ_58591-08-18,drugs,test
תפ_64660-01-22,drugs,train
תפ_44694-10-18,drugs,train
תפ_27952-06-19,drugs,train
תפ_29019-03-10,drugs,train
תפ_34053-04-18,drugs,train
תפ_24350-06-23,drugs,train
תפ_13048-04-21,drugs,train
תפ_70627-11-17,drugs,train
תפ_2531-11-18,drugs,train
תפ_13336-05-15,drugs,train
תפ_60947-11-18,drugs,train
תפ_57253-05-19,drugs,train
תפ_13748-03-15,drugs,train
תפ_40055-03-18,drugs,train
תפ_42156-05-22,drugs,train
תפ_11608-07-16,drugs,train
תפ_41933-08-22,drugs,train
תפחע_7212-11-23,drugs,train
תפ_5687-03-23,drugs,train
תפ_37987-11-23,drugs,train
תפ_15744-02-20,drugs,test
תפ_76300-05-23,drugs,train
תפ_27475-05-21,drugs,test
תפ_2217-07-15,drugs,train
תפ_27103-01-18,drugs,train
תפ_12708-04-14,drugs,test
תפ_22211-06-15,drugs,train
תפ_9220-06-20,drugs,train
תפ_60454-06-16,drugs,test
תפ_65636-05-18,drugs,train
תפ_14474-03-20,drugs,train
תפ_39308-05-15,drugs,train
תפ_8444-04-23,drugs,test
תפ_39491-09-17,drugs,test
תפ_28811-02-18,drugs,train
תפ_7430-02-18,drugs,train
תפ_27683-01-21,drugs,test
תפ_70401-02-19,drugs,train
תפ_22402-11-18,drugs,train
תפ_25137-02-20,drugs,test
תפ_44336-03-19,drugs,test
תפ_68958-01-19,drugs,train
תפ_4435-07-19,drugs,train
תפ_20589-02-18,drugs,train
תפ_24079-11-19,drugs,train
תפ_59117-03-21,drugs,test
תפ_54673-05-17,drugs,train
תפ_38149-09-17,drugs,train
תפ_6681-09-21,drugs,test
תפ_76171-01-23,drugs,train
תפ_17707-04-14,drugs,train
תפ_22537-01-18,drugs,train
תפ_893-03-22,drugs,test
תפ_45644-11-22,drugs,train
תפ_16097-08-21,drugs,train
תפ_49510-11-23,drugs,train
תפ_6788-06-16,drugs,train
תפ_22140-04-18,drugs,train
תפ_55372-10-17,drugs,train
תפ_18510-10-14,drugs,test
תפ_39629-08-18,drugs,test
תפ_4621-02-23,drugs,train
תפ_16715-12-20,drugs,test
תפ_60484-03-22,drugs,train
תפ_24895-03-20,drugs,test
תפ_4460-04-18,drugs,train
תפ_56824-09-20,drugs,train
תפ_30506-01-22,drugs,train
תפ_28292-09-20,drugs,train
תפ_19412-05-18,drugs,train
תפ_30637-02-21,drugs,train
תפ_22804-10-19,drugs,train
תפ_61065-07-18,drugs,train
תפ_13598-05-23,drugs,train
תפ_28615-01-22,drugs,train
תפ_15709-10-19,drugs,train
תפ_50359-08-19,drugs,train
תפ_9369-01-13,drugs,train
תפ_30849-07-19,drugs,train
תפ_17153-07-18,drugs,train
תפ_18216-09-16,drugs,test
תפ_1338-12-20,drugs,train
תפ_14313-09-19,drugs,train
תפ_44604-11-22,drugs,test
תפ_11220-12-18,drugs,train
תפ_19005-11-20,drugs,train
תפ_58075-11-22,drugs,test
תפ_34635-11-22,drugs,train
תפ_20967-02-14,drugs,train
תפ_31892-08-21,drugs,train
תפ_1264-05-17,drugs,test
תפ_9109-02-16,drugs,train
תפ_38176-10-14,drugs,train
תפ_62070-05-20,drugs,train
תפ_49376-01-24,drugs,train
תפ_33842-02-14,drugs,train
תפ_62688-01-20,drugs,train
תפ_33338-02-20,drugs,train
תפ_53692-11-14,drugs,test
תפ_4886-11-18,drugs,train
תפ_63073-07-22,drugs,test
תפ_50860-02-20,drugs,train
תפ_63696-02-18,drugs,train
תפ_2791-06-18,drugs,train
תפ_31134-05-18,drugs,train
תפ_68051-09-16,drugs,test
תפ_26019-02-18,drugs,train
תפ_37176-11-17,drugs,train
תפ_38631-06-20,drugs,train
תפ_22433-05-18,drugs,train
תפ_25934-06-19,drugs,test
תפ_9457-04-23,drugs,train
תפ_9582-10-20,drugs,train
תפ_43175-10-12,drugs,test
תפ_13583-12-21,drugs,train
תפ_32581-06-20,drugs,train
תפ_72027-10-21,drugs,train
תפ_7342-04-19,drugs,test
תפ_42734-08-23,drugs,test
תפ_43884-01-23,drugs,train
תפ_12699-03-18,drugs,train
תפ_53090-10-19,drugs,train
תפ_34497-06-22,drugs,train
תפ_26620-12-16,drugs,train
תפ_34210-08-18,drugs,train
תפ_42790-07-18,drugs,train
תפ_34117-10-18,drugs,train
תפ_43240-06-17,drugs,train
תפ_16794-04-17,drugs,train
תפ_45136-02-13,drugs,train
תפ_1463-04-19,drugs,train
תפ_30039-04-20,drugs,test
תפ_65386-09-19,drugs,train
תפ_27542-11-14,drugs,train
תפ_36033-05-22,drugs,train
תפ_19464-05-21,drugs,test
תפ_52567-05-23,drugs,train
תפ_58944-08-21,drugs,train
תפ_46315-12-23,drugs,train
תפ_49932-08-21,drugs,train
תפ_46896-11-15,drugs,train
תפ_13774-03-21,drugs,train
תפ_73652-01-18,drugs,train
תפ_68942-01-19,drugs,train
תפ_16826-04-18,drugs,train
תפ_3818-01-24,drugs,train
תפ_42162-12-21,drugs,test
תפ_26828-05-16,drugs,test
תפ_48799-06-16,drugs,train
תפ_62318-07-17,drugs,train
תפ_53298-06-20,drugs,train
תפ_61181-02-19,drugs,train
תפ_20872-02-14,drugs,train
תפ_11789-12-16,drugs,train
תפ_35569-02-23,drugs,train
תפ_49055-02-18,drugs,train
תפ_74742-06-20,drugs,train
תפ_43665-08-21,drugs,train
תפ_25530-06-20,drugs,train
תפ_65828-06-20,drugs,train
תפ_23282-05-17,drugs,test
תפ_30003-03-22,drugs,train
תפ_18076-01-23,drugs,train
תפ_40649-08-16,drugs,test
תפ_12672-11-21,drugs,train
תפ_32175-07-22,drugs,train
תפ_32174-07-20,drugs,train
תפ_28953-06-18,drugs,train
תפ_8066-09-21,drugs,train
תפ_57912-07-14,drugs,train
תפ_26032-04-14,drugs,train
תפק_11489-02-23,drugs,train
תפ_1108-05-15,drugs,train
תפ_47879-06-13,drugs,train
תפ_60183-03-21,drugs,train
תפ_27373-07-20,drugs,train
תפ_54472-09-22,drugs,train
תפ_73261-01-23,drugs,train
תפ_9532-10-18,drugs,train
תפ_3526-04-21,drugs,train
תפ_60295-03-22,drugs,train
תפ_30618-02-18,drugs,train
תפ_49269-08-21,drugs,train
תפ_33200-05-20,drugs,train
תפ_36886-11-17,drugs,train
תפ_27506-03-21,drugs,train
תפ_48479-07-22,drugs,train
תפ_37495-01-20,drugs,train
תפ_42276-07-17,drugs,train
תפ_15392-04-17,drugs,train
תפ_15667-06-21,drugs,test
תפ_4719-02-23,drugs,train
תפ_70231-02-19,drugs,train
תפ_29159-08-22,drugs,train
תפ_30377-04-18,drugs,train
תפ_28234-05-21,drugs,test
תפ_37255-05-14,drugs,train
תפ_38616-11-22,drugs,train
תפ_57084-03-22,drugs,test
תפ_42225-09-17,drugs,train
תפ_67105-12-14,drugs,test
תפ_28954-08-20,drugs,train
תפ_39513-02-21,drugs,test
תפ_50988-12-15,drugs,train
תפ_40639-10-17,drugs,train
תפ_25835-05-18,drugs,train
תפ_47640-06-18,drugs,train
תפ_53219-03-14,drugs,train
תפ_17081-12-16,drugs,train
תפ_43084-09-20,drugs,test
תד_7172-07-20,drugs,test
תפ_8127-05-22,drugs,train
תפ_38680-05-20,drugs,train
תפ_7684-08-22,drugs,test
תפ_44477-08-20,drugs,train
תפ_37468-09-16,drugs,train
תפ_60476-05-13,drugs,train
תפ_9804-01-24,drugs,train
תפ_59165-12-19,drugs,train
תפ_52725-01-21,drugs,test
תפ_31812-10-22,drugs,test
תפ_30197-04-17,drugs,train
תפ_1387-01-22,drugs,train
תפ_48731-11-14,drugs,test
תפ_51943-05-20,drugs,train
תפ_20484-05-16,drugs,train
תפ_52781-10-18,drugs,test
תפ_32815-03-20,drugs,train
תפ_1175-08-21,drugs,train
תפ_70717-07-24,drugs,train
תפ_17780-09-16,drugs,train
תפ_63637-06-17,drugs,train
תפ_26685-05-13,drugs,test
תפ_41189-09-15,drugs,train
תפ_31827-10-19,drugs,train
תפ_56431-02-24,drugs,train
תפ_13927-04-13,drugs,test
תפ_70374-11-20,drugs,test
תפ_3503-09-20,drugs,train
תפ_16273-02-16,drugs,test
תפ_17948-09-17,drugs,test
תפ_54543-06-21,drugs,train
תפ_33848-05-14,drugs,train
תפ_45156-04-15,drugs,test
תפ_986-06-21,drugs,train
תפ_20825-08-14,drugs,train
תפ_54047-01-13,drugs,train
תפ_57459-06-20,drugs,train
תפ_1390-09-20,drugs,test
תפ_25332-01-18,drugs,train
תפ_17410-08-13,drugs,train
תפ_7086-04-23,drugs,train
תפ_10140-10-19,drugs,train
תפ_26896-07-16,drugs,train
תפ_53725-11-14,drugs,train
תפ_21322-10-19,drugs,train
תפ_19391-11-24,drugs,test
תפ_802-12-22,drugs,train
תפ_37551-01-16,drugs,train
תפ_40327-10-19,drugs,train
תפ_31842-04-21,drugs,train
תפ_26856-05-16,drugs,train
תפ_58524-11-19,drugs,train
תפ_61258-11-21,drugs,train
תפ_7833-06-21,drugs,train
תפ_1722-05-21,drugs,train
תפ_67646-05-24,drugs,train
תפ_10689-10-17,drugs,train
תפ_19932-03-17,drugs,train
תפ_48938-01-15,drugs,train
תפ_8900-11-22,drugs,train
תפ_41950-02-19,drugs,train
תפ_70274-07-20,drugs,test
תפ_36801-10-22,drugs,train
תפ_62893-04-21,drugs,train
תפ_53127-06-16,drugs,train
תפ_50754-02-20,drugs,train
תפ_60154-02-19,drugs,train
תפ_55035-10-18,drugs,train
תפ_30913-02-21,drugs,train
תפ_52165-12-17,drugs,train
תפ_17642-11-20,drugs,train
תפ_45480-02-19,drugs,train
תפ_50038-01-19,drugs,train
תפ_46735-02-20,drugs,train
תפ_55353-01-21,drugs,train
תפ_32956-11-20,drugs,train
תפ_72132-02-19,drugs,train
תפ_12158-04-23,drugs,train
תפ_35843-03-22,drugs,test
תפ_1969-02-17,drugs,train
תפ_59503-07-15,drugs,train
תפ_40331-03-18,drugs,train
תפ_35893-03-20,drugs,train
תפ_44181-01-17,drugs,train
תפ_67527-03-18,drugs,test
תפ_34771-07-20,drugs,train
תפ_26985-11-21,drugs,train
תפ_47941-06-15,drugs,train
תפ_51797-01-21,drugs,train
תפ_59009-05-21,drugs,train
תפ_35204-09-21,drugs,train
תפ_44427-10-18,drugs,train
תפ_58790-08-18,drugs,train
תפ_31103-09-17,drugs,train
תפ_5188-10-21,drugs,train
תפ_59804-01-17,drugs,train
תפ_12194-06-23,drugs,train
תפ_15251-11-19,drugs,train
תפ_28107-06-20,drugs,train
תפ_18285-08-16,drugs,train
תפ_62222-12-16,drugs,train
תפ_22297-11-20,drugs,train
תפ_38366-02-17,drugs,train
תפ_24771-06-21,drugs,train
תפ_57043-06-16,drugs,train
תפ_42796-02-24,drugs,train
תפ_55489-01-21,drugs,train
תפ_34752-02-21,drugs,train
תפ_31419-11-20,drugs,test
תפ_4261-09-22,drugs,train
תפ_38578-12-20,drugs,test
תפ_60606-10-20,drugs,train
תפ_46914-06-18,drugs,train
תפ_56285-05-24,drugs,train
תפ_42761-01-18,drugs,train
תפ_54732-03-18,drugs,train
תפ_27295-12-17,drugs,train
תפ_34960-10-19,drugs,train
תפ_46786-01-23,drugs,train
תפ_66041-01-18,drugs,train
תפ_8203-05-23,drugs,train
תפ_42779-07-18,drugs,train
תפ_44666-10-18,drugs,train
תפ_14611-12-21,drugs,train
תפ_33658-01-18,drugs,test
תפ_9460-10-19,drugs,train
תפ_34925-03-14,drugs,train
תפ_33252-04-17,drugs,train
תפ_25458-11-18,drugs,train
תפ_10086-06-18,drugs,train
תפ_43397-02-15,drugs,train
תפ_21557-06-16,drugs,train
תפ_6985-07-22,drugs,test
תפ_41830-12-21,drugs,train
תפ_15965-12-21,drugs,train
תפ_49845-08-20,drugs,train
תפ_59087-01-18,drugs,train
תפ_44027-05-15,drugs,train
תפ_64144-09-17,drugs,train
תפ_20841-09-15,drugs,train
תפ_48695-03-20,drugs,train
תפ_10393-03-21,drugs,train
תפ_18320-05-19,drugs,test
תפ_52504-10-20,drugs,test
תפ_21806-01-19,drugs,test
תפ_73906-12-20,drugs,train
תפ_26943-07-17,drugs,train
תפ_62573-05-18,drugs,train
תפ_66437-07-20,drugs,train
תפ_64711-01-19,drugs,test
תפ_29005-11-20,drugs,train
תפ_67911-11-22,drugs,train
תפ_4435-11-17,drugs,test
תפ_65068-11-22,drugs,train
תפ_60682-03-14,drugs,train
תפ_1057-05-15,drugs,train
תפ_40650-03-22,drugs,train
תפ_14578-04-19,drugs,train
תפ_61235-05-13,drugs,train
תפ_10853-08-16,drugs,train
תפ_1818-08-20,drugs,train
תפ_33508-01-15,drugs,test
תפ_17701-07-21,drugs,train
תפ_54826-08-16,drugs,test
תפ_61248-02-24,drugs,train
תפ_34255-01-24,drugs,train
תפ_44501-11-16,drugs,train
תפ_42806-07-18,drugs,train
תפ_1340-10-14,drugs,test
תפ_67234-06-20,drugs,train
תפ_50969-06-22,drugs,test
תפ_24296-05-20,drugs,train
תפ_13690-04-17,drugs,train
תפ_36827-11-15,drugs,test
תפ_65260-11-15,drugs,train
תפ_27512-06-23,drugs,train
תפ_14751-12-20,drugs,train
תפ_52589-10-20,drugs,train
תפ_33475-10-17,drugs,train
תפ_52902-01-21,drugs,test
תפ_26596-01-24,drugs,train
תפ_10283-03-16,drugs,train
תפ_32561-09-13,drugs,train
תפ_5391-02-20,drugs,train
תפ_48176-01-22,drugs,train
תפ_3593-09-21,drugs,train
תפ_44314-05-16,drugs,test
תפ_30433-04-11,drugs,train
תפ_58812-10-17,drugs,train
תפ_17667-07-19,drugs,train
תפ_74740-06-20,drugs,train
תפ_8988-11-22,drugs,train
תפ_14488-04-19,drugs,test
תפ_31647-04-18,drugs,train
תפ_3667-07-15,drugs,test
תפ_7486-05-18,drugs,train
תפ_42361-08-23,drugs,train
תפ_33439-01-21,drugs,train
תפ_34938-09-18,drugs,train
תפ_32597-07-20,drugs,train
תפ_31925-05-20,drugs,train
תפ_15263-09-18,drugs,train
תפ_16651-01-24,drugs,train
תפ_55654-02-21,drugs,test
תפ_12143-06-20,drugs,train
תפ_56566-08-20,drugs,train
תפ_33382-01-16,drugs,train
תפ_2275-06-17,drugs,train
תפ_22715-06-17,drugs,train
תפ_30989-10-13,drugs,test
תפ_15747-08-22,drugs,train
תפ_31015-09-17,drugs,train
