domain,task,model,representation_id,f1,precision,recall,threshold,n_valid,n_failed,ap_pr,stats_path,preds_path
drugs,binary_0,gpt5mini,fe_manual_format,0.7887,0.7568,0.8235,62.3116,100,0,0.8459921412644331,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,fe_manual_format,0.7654,0.6596,0.9118,52.2613,100,0,0.7728718071379127,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,qwen3_235b,fe_manual_format,0.747,0.6327,0.9118,40.201,100,0,0.7033299746556717,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,fe_manual_format,0.775,0.6739,0.9118,40.201,100,0,0.7488089091551873,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_manual_format_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,gpt_free,0.8158,0.7381,0.9118,25.1256,100,0,0.7936216547742667,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,gpt_free,0.8219,0.7692,0.8824,62.3116,100,0,0.8163877194743903,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,gpt_free,0.8,0.7317,0.8824,45.2261,100,0,0.8251433902826629,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,gpt_free,0.8451,0.8108,0.8824,55.2764,100,0,0.8181733576795114,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,gpt_free,0.8533,0.7805,0.9412,56.2814,100,0,0.8555676815737949,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,gpt_free,0.8286,0.8056,0.8529,55.2764,100,0,0.8596363633927986,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,gpt_free,0.7901,0.6809,0.9412,45.2261,100,0,0.856233882577073,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,gpt_free,0.7949,0.7045,0.9118,52.2613,100,0,0.8578219166454459,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,qwen3_235b,gpt_free,0.8125,0.8667,0.7647,45.2261,100,0,0.8360693994097356,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,gpt_free,0.8451,0.8108,0.8824,40.201,100,0,0.8697312790040742,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_features_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,gpt_law,0.8219,0.7692,0.8824,35.1759,100,0,0.7639824945253607,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,gpt_law,0.8571,0.8333,0.8824,76.3819,100,0,0.8110228381768174,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,gpt_law,0.7869,0.8889,0.7059,65.3266,100,0,0.8315811965811966,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,gpt_law,0.8696,0.8571,0.8824,68.3417,100,0,0.8394931211715796,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,gpt_law,0.8732,0.8378,0.9118,65.3266,100,0,0.8680205399151713,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,gpt_law,0.8571,0.8333,0.8824,58.2915,100,0,0.8518773600381175,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,gpt_law,0.8732,0.8378,0.9118,62.3116,100,0,0.8923317387802493,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,gpt_law,0.8254,0.8966,0.7647,68.3417,100,0,0.8557362310122226,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_with_gpt_law_features_v6score_llama3_70b_binary_0_preds.csv
