verdict_1,verdict_2,domain,source
תפ_42653-08-23,תפ_5687-03-23,drugs,internal_corrected
תפ_5687-03-23,תפ_737-10-13,drugs,internal_corrected
תפ_39214-12-15,תפ_45644-11-22,drugs,internal_corrected
תפ_32895-05-22,תפ_54176-01-13,drugs,internal_corrected
תפ_21355-08-18,תפ_39299-11-18,drugs,internal_corrected
תפ_39589-07-13,תפ_59117-03-21,drugs,internal_corrected
תפ_39214-12-15,תפ_4760-10-18,drugs,internal_corrected
תפ_27683-01-21,תפ_31425-08-20,drugs,internal_corrected
תפ_1064-10-21,תפ_28496-07-14,drugs,internal_corrected
תפ_48152-02-20,תפ_64232-11-22,drugs,internal_corrected
תפ_2482-05-20,תפ_899-04-18,drugs,internal_corrected
תפ_22211-06-15,תפ_61617-11-16,drugs,internal_corrected
תפ_60842-12-14,תפ_63696-02-18,drugs,internal_corrected
תפ_40327-10-19,תפ_74742-06-20,drugs,internal_corrected
תפ_19985-04-14,תפ_49055-02-18,drugs,internal_corrected
תפ_7154-12-16,תפ_8633-04-15,drugs,internal_corrected
תפ_26943-07-17,תפ_57031-01-14,drugs,internal_corrected
תפ_14963-02-23,תפ_26357-10-15,drugs,internal_corrected
תפ_40239-09-17,תפ_6749-09-22,drugs,internal_corrected
תפ_18510-10-14,תפ_2047-08-15,drugs,internal_corrected
תפ_1463-04-19,תפ_35074-05-17,drugs,internal_corrected
תפ_18163-03-15,תפ_60842-12-14,drugs,internal_corrected
עפ_6029-03,תפ_34771-07-20,drugs,internal_corrected
תפ_46896-11-15,תפ_899-04-18,drugs,internal_corrected
תפ_28931-09-20,תפ_55163-03-15,drugs,internal_corrected
תפ_46896-11-15,תפ_63696-02-18,drugs,internal_corrected
תפ_4730-11-21,תפ_54487-02-16,drugs,internal_corrected
תפ_42253-12-23,תפ_46497-09-16,drugs,internal_corrected
תפ_14825-04-13,תפ_3526-04-21,drugs,internal_corrected
תפ_27683-01-21,תפ_40331-03-18,drugs,internal_corrected
תפ_27865-11-17,תפ_73863-01-19,drugs,internal_corrected
תפ_18846-06-20,תפ_58167-11-10,drugs,internal_corrected
תפ_29052-11-20,תפ_73989-12-19,weapon,external_cocite + internal_corrected
תפ_327-04-17,תפ_67029-11-18,drugs,internal_corrected
תפ_15253-08-18,תפ_39214-12-15,drugs,internal_corrected
תפ_43084-09-20,תפ_54176-01-13,drugs,internal_corrected
תפ_21605-07-13,תפ_36801-10-22,drugs,internal_corrected
תפ_39936-04-12,תפ_8633-04-15,drugs,internal_corrected
תפ_20638-04-22,תפ_60015-05-22,drugs,internal_corrected
תפ_37340-06-12,תפ_52781-10-18,drugs,internal_corrected
תפ_35441-01-20,תפ_38149-09-17,drugs,internal_corrected
תפ_14734-11-19,תפ_20469-11-15,drugs,internal_corrected
תפ_13289-03-15,תפ_60842-12-14,drugs,internal_corrected
תפ_1197-11-21,תפ_16389-10-13,drugs,internal_corrected
תפ_1491-03-23,תפ_6681-09-21,drugs,internal_corrected
תפ_12143-06-20,תפ_44336-03-19,drugs,internal_corrected
תפ_11090-07-23,תפ_42253-12-23,drugs,external_cocite + internal_corrected
תפ_38312-03-10,תפ_54072-05-16,drugs,internal_corrected
תפ_45644-11-22,תפ_46424-05-24,drugs,internal_corrected
תפ_12130-05-22,תפ_5687-03-23,drugs,internal_corrected
תפ_55331-06-21,תפ_6659-02-21,drugs,internal_corrected
תפ_14460-04-22,תפ_44843-01-19,drugs,internal_corrected
תפ_52569-05-16,תפ_69612-01-23,drugs,internal_corrected
תפ_21605-07-13,תפ_4911-12-16,drugs,internal_corrected
עפ_6029-03,תפ_27593-03-13,drugs,internal_corrected
תפ_30678-02-22,תפ_9369-01-13,drugs,internal_corrected
תפ_40055-03-18,תפ_45644-11-22,drugs,internal_corrected
תפ_27021-01-14,תפ_48281-08-18,drugs,internal_corrected
תפ_20538-11-17,תפ_327-04-17,drugs,internal_corrected
תפ_22978-11-21,תפ_34752-02-21,drugs,internal_corrected
תפ_31387-10-18,תפ_33666-05-15,drugs,internal_corrected
תפ_26685-11-18,תפ_43983-05-19,drugs,internal_corrected
תפ_22642-11-23,תפ_29566-01-22,weapon,internal_corrected
תפ_26856-05-16,תפ_49401-08-15,drugs,internal_corrected
תפ_62794-11-21,תפ_64041-02-19,drugs,internal_corrected
תפ_42974-11-12,תפ_5775-02-18,drugs,internal_corrected
תפ_10140-10-19,תפ_28847-09-20,drugs,internal_corrected
תפ_26792-04-16,תפ_737-10-13,drugs,internal_corrected
תפ_34771-07-20,תפ_46914-06-18,drugs,internal_corrected
תפ_10108-11-21,תפ_58237-07-21,drugs,internal_corrected
תפ_49591-09-23,תפ_65646-12-23,weapon,internal_corrected
תפ_15747-08-22,תפ_19965-05-12,drugs,internal_corrected
תפ_18320-05-19,תפ_38531-11-18,drugs,internal_corrected
תפ_18846-06-20,תפ_44877-06-13,drugs,internal_corrected
תפ_19965-05-12,תפ_21291-04-23,drugs,internal_corrected
תפ_44694-10-18,תפ_63255-11-16,drugs,internal_corrected
תפ_56678-03-17,תפ_60340-02-17,drugs,internal_corrected
תפ_13194-11-18,תפ_20414-08-12,drugs,internal_corrected
תפ_34752-02-21,תפ_35568-01-23,drugs,internal_corrected
תפ_38312-03-10,תפ_66982-09-16,drugs,internal_corrected
תפ_41189-09-15,תפ_69865-03-18,drugs,internal_corrected
תפ_16389-10-13,תפ_305-12-12,drugs,internal_corrected
תפ_24278-11-22,תפ_52165-12-17,drugs,internal_corrected
תפ_25146-11-12,תפ_26839-11-16,drugs,internal_corrected
תפ_23443-04-21,תפ_41783-12-17,drugs,internal_corrected
תפ_16540-08-21,תפ_34752-02-21,drugs,internal_corrected
תפ_4632-02-22,תפ_59009-05-21,drugs,internal_corrected
תפ_15963-02-13,תפ_50105-10-12,drugs,internal_corrected
תפ_3766-09-21,תפ_809-09-18,drugs,internal_corrected
תפ_19965-05-12,תפ_21384-01-23,drugs,internal_corrected
תפ_39491-09-17,תפ_899-04-18,drugs,internal_corrected
תפ_22765-09-19,תפ_4029-07-24,weapon,internal_corrected
תפ_33658-01-18,תפ_3618-03-23,drugs,internal_corrected
תפ_13935-05-24,תפ_27103-01-18,drugs,internal_corrected
תפ_18846-06-20,תפ_22679-09-16,drugs,internal_corrected
תפ_18163-03-15,תפ_43875-08-17,drugs,internal_corrected
תפ_33475-10-17,תפ_52145-01-20,drugs,internal_corrected
עפ_6029-03,תפ_26357-10-15,drugs,internal_corrected
תפ_10150-06-13,תפ_28157-02-23,drugs,internal_corrected
תפ_12699-03-18,תפ_8988-11-22,drugs,internal_corrected
תפ_14553-12-23,תפ_3867-05-14,drugs,internal_corrected
תפ_51953-01-23,תפ_61248-02-24,drugs,internal_corrected
תפ_33475-10-17,תפ_60394-12-12,drugs,internal_corrected
תפ_33475-10-17,תפ_40239-09-17,drugs,internal_corrected
תפ_12143-06-20,תפ_40055-03-18,drugs,internal_corrected
תפ_14944-08-18,תפ_42956-04-22,drugs,internal_corrected
תפ_43978-02-21,תפ_61718-10-21,drugs,external_cocite + internal_corrected
תפ_33475-10-17,תפ_38014-02-22,drugs,internal_corrected
תפ_35202-10-15,תפ_42974-11-12,drugs,internal_corrected
תפ_43525-01-21,תפ_43875-08-17,drugs,internal_corrected
תפ_31579-08-23,תפ_43875-08-17,drugs,internal_corrected
תפ_26839-11-16,תפ_27683-01-21,drugs,internal_corrected
תפ_21291-04-23,תפ_46896-11-15,drugs,internal_corrected
תפ_38312-03-10,תפ_9380-03-21,drugs,internal_corrected
תפ_57912-07-14,תפ_64232-11-22,drugs,internal_corrected
תפ_21503-07-23,תפ_34974-01-12,drugs,internal_corrected
תפ_16052-05-23,תפ_20339-09-19,drugs,internal_corrected
תפ_33658-01-18,תפ_60454-06-16,drugs,internal_corrected
תפ_48974-11-20,תפ_5119-09-13,drugs,internal_corrected
תפ_21280-11-18,תפ_49625-04-17,drugs,internal_corrected
תפ_23282-05-17,תפ_44843-01-19,drugs,internal_corrected
תפ_26620-12-16,תפ_75514-07-24,drugs,internal_corrected
תפ_3618-03-23,תפ_37764-03-21,drugs,internal_corrected
תפ_14825-04-13,תפ_305-12-12,drugs,internal_corrected
תפ_37850-05-17,תפ_55331-06-21,drugs,internal_corrected
תפ_22679-09-16,תפ_39424-11-22,drugs,internal_corrected
תפ_43982-06-17,תפ_44843-01-19,drugs,internal_corrected
תפ_12708-04-14,תפ_30717-01-19,drugs,internal_corrected
תפ_39936-04-12,תפ_41783-12-17,drugs,internal_corrected
תפ_12130-05-22,תפ_41783-12-17,drugs,internal_corrected
תפ_12158-04-23,תפ_23142-09-14,drugs,internal_corrected
תפ_26357-10-15,תפ_54072-05-16,drugs,internal_corrected
תפ_23577-02-19,תפ_70401-02-19,drugs,internal_corrected
עפ_6029-03,תפ_8642-08-18,drugs,internal_corrected
תפ_29380-02-18,תפק_6666-09-19,drugs,internal_corrected
תפ_25146-11-12,תפ_35299-09-23,drugs,internal_corrected
תפ_21384-01-23,תפ_3618-03-23,drugs,internal_corrected
תפ_4911-12-16,תפ_70374-11-20,drugs,internal_corrected
תפ_31628-07-15,תפ_45644-11-22,drugs,internal_corrected
תפ_44336-03-19,תפ_9369-01-13,drugs,internal_corrected
תפ_27683-01-21,תפ_36801-10-22,drugs,internal_corrected
תפ_44336-03-19,תפ_6659-02-21,drugs,internal_corrected
תפ_47168-03-18,תפ_58591-08-18,drugs,internal_corrected
תפ_19985-04-14,תפ_66982-09-16,drugs,internal_corrected
תפ_25537-07-24,תפ_63696-02-18,drugs,internal_corrected
תפ_12699-03-18,תפ_52145-01-20,drugs,internal_corrected
תפ_21384-01-23,תפ_737-10-13,drugs,internal_corrected
תפ_22140-04-18,תפ_37454-03-20,drugs,external_cocite + internal_corrected
תפ_16015-05-21,תפ_27103-01-18,drugs,internal_corrected
תפ_16389-10-13,תפ_24154-01-12,drugs,internal_corrected
תפ_44336-03-19,תפ_809-09-18,drugs,internal_corrected
תפ_14460-04-22,תפ_59009-05-21,drugs,internal_corrected
תפ_16458-07-14,תפ_7325-10-16,drugs,internal_corrected
תפ_1681-12-15,תפ_34974-01-12,drugs,internal_corrected
תפ_305-12-12,תפ_33439-01-21,drugs,internal_corrected
תפ_34974-01-12,תפ_809-09-18,drugs,internal_corrected
תפ_50777-11-23,תפ_5486-09-21,drugs,internal_corrected
תפ_1491-03-23,תפ_30003-03-22,drugs,internal_corrected
תפ_35295-09-23,תפ_69852-03-23,weapon,internal_corrected
תפ_10150-06-13,תפ_2275-06-17,drugs,internal_corrected
תפ_43875-08-17,תפ_60454-06-16,drugs,internal_corrected
תפ_20534-02-12,תפ_49875-05-23,drugs,internal_corrected
תפ_23408-05-15,תפ_52567-05-23,drugs,internal_corrected
תפ_3772-01-16,תפ_43752-01-19,weapon,internal_corrected
תפ_18846-06-20,תפ_3618-03-23,drugs,internal_corrected
תפ_42974-11-12,תפ_43875-08-17,drugs,internal_corrected
תפ_429-03-17,תפ_9369-01-13,drugs,internal_corrected
תפ_27021-01-14,תפ_43875-08-17,drugs,internal_corrected
תפ_20853-12-22,תפ_9460-10-19,drugs,internal_corrected
תפ_27295-12-17,תפ_45156-04-15,drugs,internal_corrected
תפ_39647-01-20,תפ_63672-03-19,drugs,internal_corrected
תפ_43983-05-19,תפ_59329-02-18,drugs,internal_corrected
תפ_59971-01-17,תפ_67029-11-18,drugs,internal_corrected
תפ_39308-05-15,תפ_9380-03-21,drugs,internal_corrected
תפ_16015-05-21,תפ_67473-10-21,drugs,internal_corrected
תפ_12130-05-22,תפ_40239-09-17,drugs,internal_corrected
תפ_42879-09-21,תפ_48983-06-18,drugs,internal_corrected
תפ_38312-03-10,תפ_43982-06-17,drugs,internal_corrected
תפ_33835-10-15,תפ_58530-05-18,drugs,internal_corrected
תפ_22679-09-16,תפ_33024-01-18,drugs,internal_corrected
תפ_31579-08-23,תפ_52882-04-15,drugs,internal_corrected
תפ_15425-02-14,תפ_26928-08-19,drugs,internal_corrected
תפ_42707-08-21,תפ_59541-10-18,drugs,internal_corrected
תפ_37850-05-17,תפ_64232-11-22,drugs,internal_corrected
תפ_15868-04-16,תפ_52882-04-15,drugs,external_cocite + internal_corrected
תפ_1316-04-19,תפ_52355-03-22,weapon,internal_corrected
עפ_6029-03,תפ_52882-04-15,drugs,internal_corrected
תפ_28107-06-20,תפ_36786-12-18,drugs,internal_corrected
תפ_63489-07-24,תפ_69158-11-16,weapon,internal_corrected
תפ_53805-09-16,תפ_7800-05-21,drugs,external_cocite + internal_corrected
תפ_38176-10-14,תפ_6659-02-21,drugs,internal_corrected
תפ_15253-08-18,תפ_24278-11-22,drugs,internal_corrected
תפ_44843-01-19,תפ_9380-03-21,drugs,internal_corrected
תפ_14825-04-13,תפ_37850-05-17,drugs,internal_corrected
תפ_12699-03-18,תפ_2599-09-17,drugs,internal_corrected
תפ_21605-07-13,תפ_58167-11-10,drugs,internal_corrected
תפ_14963-02-23,תפ_43983-05-19,drugs,internal_corrected
תפ_20414-08-12,תפ_737-10-13,drugs,internal_corrected
תפ_1108-05-15,תפ_30197-04-17,drugs,internal_corrected
תפ_50079-03-13,תפ_58167-11-10,drugs,internal_corrected
תפ_31276-05-19,תפ_9369-01-13,drugs,internal_corrected
תפ_43983-05-19,תפ_64041-02-19,drugs,internal_corrected
תפ_26164-01-21,תפ_50031-07-23,weapon,external_cocite + internal_corrected
תפ_42956-04-22,תפ_6681-09-21,drugs,internal_corrected
תפ_1681-12-15,תפ_42974-11-12,drugs,internal_corrected
תפ_17021-03-13,תפ_18320-05-19,drugs,internal_corrected
תפ_1788-06-17,תפ_33439-01-21,drugs,internal_corrected
תפ_21503-07-23,תפ_60394-12-12,drugs,internal_corrected
תפ_18320-05-19,תפ_54036-06-19,drugs,internal_corrected
תפ_13935-05-24,תפ_50105-10-12,drugs,internal_corrected
תפ_53127-06-16,תפ_6681-09-21,drugs,internal_corrected
תפ_24154-01-12,תפ_26357-10-15,drugs,internal_corrected
תפ_21605-07-13,תפ_6659-02-21,drugs,internal_corrected
תפ_24154-01-12,תפ_53373-04-13,drugs,internal_corrected
עפ_6029-03,תפ_8127-05-22,drugs,internal_corrected
תפ_13194-11-18,תפ_54036-06-19,drugs,internal_corrected
תפ_16540-08-21,תפ_63696-02-18,drugs,internal_corrected
תפ_52145-01-20,תפ_9369-01-13,drugs,internal_corrected
תפ_25146-11-12,תפ_43875-08-17,drugs,internal_corrected
תפ_34974-01-12,תפ_64041-02-19,drugs,internal_corrected
תפ_34771-07-20,תפ_44279-06-21,drugs,internal_corrected
תפ_26839-11-16,תפ_73367-01-19,drugs,internal_corrected
תפ_36422-07-13,תפ_38312-03-10,drugs,internal_corrected
תפ_37551-01-16,תפ_50105-10-12,drugs,internal_corrected
תפ_62794-11-21,תפ_9369-01-13,drugs,internal_corrected
תפ_16259-02-17,תפ_67234-06-20,drugs,internal_corrected
תפ_26856-05-16,תפ_48224-08-18,drugs,external_cocite + internal_corrected
תפ_13373-10-23,תפ_53090-10-19,drugs,internal_corrected
תפ_42974-11-12,תפ_7027-07-19,drugs,internal_corrected
תפ_45759-12-17,תפ_63696-02-18,drugs,internal_corrected
תפ_23142-09-14,תפ_47941-06-15,drugs,internal_corrected
תפ_15963-02-13,תפ_305-12-12,drugs,internal_corrected
תפ_1463-04-19,תפ_22021-09-22,drugs,internal_corrected
תפ_38531-11-18,תפ_58237-07-21,drugs,internal_corrected
תפ_21322-10-19,תפ_39589-07-13,drugs,internal_corrected
תפ_54807-01-21,תפ_56421-08-23,weapon,internal_corrected
תפ_15253-08-18,תפ_7027-07-19,drugs,internal_corrected
תפ_29520-01-21,תפ_44877-06-13,drugs,internal_corrected
תפ_10108-11-21,תפ_18320-05-19,drugs,internal_corrected
תפ_31837-04-21,תפ_43978-02-21,drugs,internal_corrected
תפ_17023-12-18,תפ_20685-11-16,drugs,external_cocite + internal_corrected
תפ_42253-12-23,תפ_6322-04-16,drugs,internal_corrected
תפ_23142-09-14,תפ_55496-07-13,drugs,internal_corrected
תפ_47757-02-18,תפ_54487-02-16,drugs,internal_corrected
תפ_7091-03-19,תפ_802-01-20,drugs,internal_corrected
תפ_28496-07-14,תפ_58167-11-10,drugs,internal_corrected
תפ_38014-02-22,תפ_39491-09-17,drugs,internal_corrected
תפ_15963-02-13,תפ_5911-11-16,drugs,internal_corrected
תפ_23577-02-19,תפ_54340-08-19,drugs,internal_corrected
תפ_5649-09-21,תפ_9380-03-21,drugs,internal_corrected
תפ_43982-06-17,תפ_58167-11-10,drugs,internal_corrected
תפ_1108-05-15,תפ_60842-12-14,drugs,internal_corrected
תפ_58167-11-10,תפ_65884-10-13,drugs,internal_corrected
תפ_27295-12-17,תפ_34752-02-21,drugs,internal_corrected
תפ_16015-05-21,תפ_5649-09-21,drugs,external_cocite + internal_corrected
תפ_1681-12-15,תפ_26839-11-16,drugs,internal_corrected
עפ_6029-03,תפ_43875-08-17,drugs,internal_corrected
תפ_3618-03-23,תפ_50079-03-13,drugs,internal_corrected
תפ_37850-05-17,תפ_40055-03-18,drugs,internal_corrected
תפ_39299-11-18,תפ_39308-05-15,drugs,internal_corrected
תפ_17021-03-13,תפ_64232-11-22,drugs,internal_corrected
תפ_13365-08-13,תפ_16458-07-14,drugs,internal_corrected
תפ_1463-04-19,תפ_19469-12-19,drugs,internal_corrected
תפ_20638-04-22,תפ_34787-05-20,drugs,external_cocite + internal_corrected
תפ_52552-05-20,תפ_66306-03-19,drugs,internal_corrected
תפ_1463-04-19,תפ_53375-03-18,drugs,internal_corrected
תפ_1463-04-19,תפ_42164-10-19,drugs,internal_corrected
תפ_16273-02-16,תפ_24895-03-20,drugs,internal_corrected
תפ_35202-10-15,תפ_4760-10-18,drugs,internal_corrected
תפ_5726-02-16,תפ_57425-01-22,drugs,internal_corrected
עפ_6029-03,תפ_16389-10-13,drugs,internal_corrected
תפ_33385-07-24,תפ_4764-08-22,weapon,internal_corrected
תפ_39424-11-22,תפ_5341-07-19,drugs,internal_corrected
תפ_20534-02-12,תפ_58167-11-10,drugs,internal_corrected
תפ_26032-04-14,תפ_42956-04-22,drugs,internal_corrected
תפ_26357-10-15,תפ_31579-08-23,drugs,internal_corrected
תפ_21503-07-23,תפ_40055-03-18,drugs,internal_corrected
תפ_24154-01-12,תפ_41783-12-17,drugs,internal_corrected
תפ_16958-01-14,תפ_29269-02-14,drugs,internal_corrected
תפ_30678-02-22,תפ_38735-11-23,drugs,internal_corrected
תפ_10150-06-13,תפ_23282-05-17,drugs,internal_corrected
תפ_14375-02-23,תפ_18421-04-22,weapon,internal_corrected
תפ_1681-12-15,תפ_59117-03-21,drugs,internal_corrected
תפ_45996-07-21,תפ_53788-02-16,drugs,internal_corrected
תפ_28496-07-14,תפ_3491-09-16,drugs,internal_corrected
תפ_42712-02-12,תפ_59009-05-21,drugs,internal_corrected
תפ_21291-04-23,תפ_25835-05-18,drugs,internal_corrected
תפ_21162-10-19,תפ_30717-01-19,drugs,internal_corrected
תפ_2077-10-23,תפ_39723-12-22,weapon,internal_corrected
תפ_15927-07-23,תפ_18320-05-19,drugs,internal_corrected
תפ_10139-03-21,תפ_16020-10-22,drugs,internal_corrected
תפ_27295-12-17,תפ_43983-05-19,drugs,internal_corrected
תפ_24239-05-17,תפ_67029-11-18,drugs,internal_corrected
תפ_15927-07-23,תפ_43982-06-17,drugs,internal_corrected
עפ_6029-03,תפ_21666-04-17,drugs,internal_corrected
תפ_46735-02-20,תפ_48983-06-18,drugs,internal_corrected
תפ_55496-07-13,תפ_59329-02-18,drugs,internal_corrected
תפ_27021-01-14,תפ_67473-10-21,drugs,internal_corrected
תפ_15148-03-12,תפ_9687-03-16,weapon,internal_corrected
תפ_29731-05-21,תפ_30876-03-17,drugs,internal_corrected
תפ_49932-08-21,תפ_69865-03-18,drugs,internal_corrected
תפ_27021-01-14,תפ_67029-11-18,drugs,internal_corrected
תפ_10139-03-21,תפ_26620-12-16,drugs,internal_corrected
תפ_2211-11-19,תפ_52552-05-20,drugs,internal_corrected
תפ_6681-09-21,תפ_67029-11-18,drugs,internal_corrected
תפ_20484-05-16,תפ_29216-07-16,drugs,internal_corrected
תפ_20638-04-22,תפ_54845-01-19,drugs,internal_corrected
תפ_51810-03-15,תפ_64041-02-19,drugs,internal_corrected
תפ_12699-03-18,תפ_1463-04-19,drugs,internal_corrected
תפ_12158-04-23,תפ_19985-04-14,drugs,internal_corrected
תפ_38176-10-14,תפ_4632-02-22,drugs,internal_corrected
תפ_33697-12-18,תפ_49875-05-23,drugs,internal_corrected
תפ_55496-07-13,תפ_60454-06-16,drugs,internal_corrected
תפ_22679-09-16,תפ_37764-03-21,drugs,internal_corrected
תפ_19985-04-14,תפ_64232-11-22,drugs,internal_corrected
תפ_14963-02-23,תפ_54176-01-13,drugs,internal_corrected
תפ_25146-11-12,תפ_64041-02-19,drugs,internal_corrected
תפ_15747-08-22,תפ_59009-05-21,drugs,internal_corrected
תפ_1463-04-19,תפ_21355-08-18,drugs,internal_corrected
תפ_21291-04-23,תפ_41189-09-15,drugs,internal_corrected
תפ_39299-11-18,תפ_55287-10-23,drugs,internal_corrected
תפ_38531-11-18,תפ_52417-01-13,drugs,internal_corrected
תפ_27295-12-17,תפ_7154-12-16,drugs,internal_corrected
תפ_29068-03-16,תפ_48352-05-15,drugs,external_cocite + internal_corrected
תפ_43263-03-21,תפ_9220-06-20,drugs,internal_corrected
תפ_43982-06-17,תפ_5649-09-21,drugs,internal_corrected
תפ_21280-11-18,תפ_21605-07-13,drugs,internal_corrected
תפ_17021-03-13,תפ_899-04-18,drugs,internal_corrected
תפ_42712-02-12,תפ_809-09-18,drugs,internal_corrected
תפ_49625-04-17,תפ_6749-09-22,drugs,internal_corrected
תפ_12158-04-23,תפ_45644-11-22,drugs,internal_corrected
תפ_20354-10-21,תפ_49293-04-21,drugs,internal_corrected
תפ_46786-01-23,תפ_8988-11-22,drugs,internal_corrected
תפ_47627-07-15,תפ_51797-01-21,drugs,internal_corrected
תפ_10108-11-21,תפ_34053-04-18,drugs,internal_corrected
תפ_13935-05-24,תפ_26839-11-16,drugs,internal_corrected
תפ_36267-12-23,תפ_50716-11-19,weapon,internal_corrected
תפ_44877-06-13,תפ_5726-02-16,drugs,internal_corrected
תפ_42974-11-12,תפ_43982-06-17,drugs,internal_corrected
תפ_47301-07-16,תפ_52569-05-16,drugs,internal_corrected
תפ_24239-05-17,תפ_31628-07-15,drugs,internal_corrected
תפ_16759-07-17,תפ_4867-04-18,drugs,external_cocite + internal_corrected
תפ_43982-06-17,תפ_46173-08-15,drugs,internal_corrected
תפ_3618-03-23,תפ_55331-06-21,drugs,internal_corrected
תפ_7091-03-19,תפ_9369-01-13,drugs,internal_corrected
תפ_1136-11-21,תפ_27475-05-21,drugs,internal_corrected
תפ_46074-01-24,תפ_52223-10-23,weapon,internal_corrected
תפ_327-04-17,תפ_53373-04-13,drugs,internal_corrected
תפ_20534-02-12,תפ_59329-02-18,drugs,internal_corrected
תפ_23454-02-17,תפ_65884-10-13,drugs,internal_corrected
תפ_12550-01-15,תפ_4258-07-15,drugs,external_cocite + internal_corrected
תפ_15868-04-16,תפ_57912-07-14,drugs,internal_corrected
תפ_14963-02-23,תפ_16389-10-13,drugs,internal_corrected
תפ_27021-01-14,תפ_54072-05-16,drugs,internal_corrected
תפ_26357-10-15,תפ_41189-09-15,drugs,external_cocite + internal_corrected
תפ_30717-01-19,תפ_53373-04-13,drugs,internal_corrected
תפ_20414-08-12,תפ_49625-04-17,drugs,internal_corrected
תפ_16540-08-21,תפ_6681-09-21,drugs,internal_corrected
תפ_53339-09-22,תפ_54615-03-16,weapon,internal_corrected
תפ_2275-06-17,תפ_30003-03-22,drugs,internal_corrected
תפ_15253-08-18,תפ_18320-05-19,drugs,internal_corrected
תפ_55331-06-21,תפ_737-10-13,drugs,internal_corrected
תפ_11592-05-19,תפ_59329-02-18,drugs,internal_corrected
תפ_11370-07-16,תפ_40239-09-17,drugs,internal_corrected
תפ_40239-09-17,תפ_67029-11-18,drugs,internal_corrected
תפ_44843-01-19,תפ_59329-02-18,drugs,internal_corrected
תפ_31628-07-15,תפ_3867-05-14,drugs,internal_corrected
תפ_305-12-12,תפ_3618-03-23,drugs,internal_corrected
תפ_27021-01-14,תפ_52567-05-23,drugs,internal_corrected
תפ_21806-01-19,תפ_31236-09-14,drugs,internal_corrected
תפ_15253-08-18,תפ_25934-06-19,drugs,internal_corrected
תפ_28496-07-14,תפ_39936-04-12,drugs,internal_corrected
תפ_44279-06-21,תפ_57912-07-14,drugs,internal_corrected
תפ_23443-04-21,תפ_27683-01-21,drugs,internal_corrected
תפ_14313-09-19,תפ_14751-12-20,drugs,internal_corrected
תפ_12158-04-23,תפ_3256-16,drugs,internal_corrected
תפ_21339-07-21,תפ_64041-02-19,drugs,internal_corrected
תפ_39936-04-12,תפ_65884-10-13,drugs,internal_corrected
תפ_12158-04-23,תפ_4730-11-21,drugs,internal_corrected
תפ_59009-05-21,תפ_59329-02-18,drugs,internal_corrected
עפ_6029-03,תפ_64232-11-22,drugs,internal_corrected
