verdict,domain,split
תפ_32597-07-20,drugs,train
תפ_31925-05-20,drugs,train
תפ_15263-09-18,drugs,train
תפ_16651-01-24,drugs,train
תפ_55654-02-21,drugs,train
תפ_12143-06-20,drugs,train
תפ_56566-08-20,drugs,test
תפ_33382-01-16,drugs,train
תפ_2275-06-17,drugs,train
תפ_22715-06-17,drugs,train
תפ_30989-10-13,drugs,train
תפ_15747-08-22,drugs,train
תפ_31015-09-17,drugs,train
תפ_11701-02-20,drugs,train
תפ_1231-03-14,drugs,test
תפ_17715-07-18,drugs,train
תפ_3867-05-14,drugs,train
תפ_60450-12-23,drugs,train
תפ_13861-04-17,drugs,test
תפ_48568-10-15,drugs,train
תפ_5072-11-21,drugs,test
תפ_2047-08-15,drugs,test
תפ_62866-06-20,drugs,train
תפ_56691-03-21,drugs,train
תפ_27735-02-21,drugs,train
תפ_50777-11-23,drugs,train
תפ_54272-11-23,drugs,test
תפ_53375-03-18,drugs,test
תפ_45433-09-17,drugs,train
תפ_56694-07-20,drugs,train
תפ_39424-11-22,drugs,train
תפ_824-06-17,drugs,train
תפ_56960-06-22,drugs,train
תפ_44460-01-15,drugs,test
תפ_59888-08-22,drugs,train
תפ_63596-02-18,drugs,train
תפ_45055-01-22,drugs,test
תפ_19691-03-18,drugs,test
תפ_8633-04-15,drugs,train
תפ_1064-10-21,drugs,train
תפ_3518-11-18,drugs,train
תפ_54460-03-21,drugs,train
תפ_24154-01-12,drugs,test
תפ_17098-06-12,drugs,train
תפ_39259-05-22,drugs,train
תפ_19469-07-22,drugs,train
תפ_23142-09-14,drugs,train
תפ_46701-08-22,drugs,train
תפ_1491-03-23,drugs,train
תפ_36220-12-15,drugs,train
תפ_38531-11-18,drugs,train
תפ_31806-06-20,drugs,train
תפ_21477-06-19,drugs,test
תפ_54421-06-15,drugs,train
תפ_4788-09-15,drugs,train
תפ_67342-07-18,drugs,test
תפ_31746-10-22,drugs,train
תפ_14663-06-22,drugs,train
תפ_26868-10-20,drugs,train
תפ_30009-08-23,drugs,train
תפ_27432-10-16,drugs,train
תפ_7027-07-19,drugs,test
תפ_53463-08-19,drugs,train
תפ_33691-04-12,drugs,test
תפ_53625-07-22,drugs,train
תפ_10234-03-16,drugs,train
תפ_12589-04-23,drugs,test
תפ_33888-10-14,drugs,train
תפ_42879-09-21,drugs,train
תפ_29457-07-16,drugs,test
תפ_35481-05-14,drugs,train
תפ_17959-03-18,drugs,test
תפ_42808-01-24,drugs,train
תפ_20853-12-22,drugs,train
תפ_70531-11-19,drugs,train
תפ_14236-12-21,drugs,train
תפ_59800-05-22,drugs,train
תפ_39312-12-15,drugs,train
תפ_5434-11-18,drugs,train
תפ_31628-07-15,drugs,train
תפ_23408-05-15,drugs,train
תפ_5405-01-17,drugs,test
תפ_55185-05-20,drugs,train
תפ_802-01-20,drugs,train
תפ_32991-05-19,drugs,test
תפ_53195-10-19,drugs,train
תפ_16541-01-21,drugs,test
תפ_30353-01-23,drugs,train
תפ_44658-09-22,drugs,train
תפ_15054-05-15,drugs,train
תפ_44812-06-13,drugs,train
תפ_52145-01-20,drugs,train
תפ_12125-10-17,drugs,train
תפ_69325-10-21,drugs,train
תפ_34974-01-12,drugs,train
תפ_35074-05-17,drugs,train
תפ_2717-07-16,drugs,test
תפ_10902-08-22,drugs,train
תפ_15787-01-17,drugs,test
תפ_60380-03-22,drugs,train
תפ_33658-01-24,drugs,train
תפ_6678-12-20,drugs,test
תפ_47168-03-18,drugs,train
תפ_14786-03-20,drugs,train
תפ_34232-05-24,drugs,train
תפ_28565-05-24,drugs,train
תפ_39299-11-18,drugs,train
תפ_67029-11-18,drugs,train
תפ_23774-03-17,drugs,train
תפ_7874-11-21,drugs,train
תפ_74036-12-19,drugs,train
תפ_191230-15,drugs,train
תפ_29520-01-21,drugs,train
תפ_17659-07-15,drugs,train
תפ_35568-01-23,drugs,test
תפ_36546-08-21,drugs,train
תפ_43575-05-18,drugs,train
תפ_55366-02-17,drugs,train
תפ_21991-04-20,drugs,train
תפ_46090-03-14,drugs,test
תפ_19908-10-21,drugs,train
תפ_2679-03-18,drugs,train
תפ_4730-11-21,drugs,train
תפ_50474-02-21,drugs,train
תפ_12546-04-16,drugs,train
תפ_41970-12-21,drugs,train
תפ_41801-01-21,drugs,train
תפ_5858-02-20,drugs,test
תפ_49856-07-11,drugs,test
תפ_46424-05-24,drugs,train
תפ_5341-07-19,drugs,train
תפ_55717-02-24,drugs,train
תפ_65884-10-13,drugs,train
תפ_34266-09-18,drugs,train
תפ_1277-05-20,drugs,train
תפ_8588-09-18,drugs,train
תפ_13749-03-17,drugs,train
תפ_50497-04-17,drugs,train
תפ_3673-04-18,drugs,test
תפ_24251-07-13,drugs,test
תפ_41876-08-23,drugs,train
תפ_28270-11-15,drugs,train
תפ_23642-03-17,drugs,train
תפ_20354-10-21,drugs,train
תפ_16591-12-15,drugs,train
תפ_1136-11-21,drugs,test
תפ_50105-10-12,drugs,train
תפ_69281-11-20,drugs,train
תפ_686-05-21,drugs,train
תפ_29523-10-15,drugs,test
תפ_17677-04-17,drugs,train
תפ_49910-06-21,drugs,train
תפ_12699-05-15,drugs,train
תפ_10054-09-19,drugs,train
תפ_19830-10-20,drugs,train
תפ_46366-09-19,drugs,train
תפ_17415-10-21,drugs,test
תפ_15091-06-21,drugs,train
תפ_58021-11-17,drugs,train
תפ_69400-07-20,drugs,train
תפ_50621-12-11,drugs,test
תפ_29209-08-21,drugs,test
תפ_4415-02-18,drugs,train
תפ_46018-03-14,drugs,train
תפ_49042-02-20,drugs,train
תפ_24431-04-20,drugs,train
תפ_44250-12-15,drugs,test
תפ_63404-02-24,drugs,train
תפ_579-04-13,drugs,train
תפ_43253-03-21,drugs,test
תפ_15997-02-20,drugs,train
תפ_59067-03-21,drugs,train
תפ_49305-06-16,drugs,train
תפ_21679-04-15,drugs,train
תפ_28736-03-20,drugs,train
תפ_54134-05-18,drugs,train
תפ_35389-01-21,drugs,train
תפ_47987-12-22,drugs,train
תפ_19674-02-14,drugs,train
תפ_15208-11-20,drugs,train
תפ_20931-12-20,drugs,train
תפ_35202-10-15,drugs,train
תפ_56199-02-20,drugs,train
תפ_10469-04-19,drugs,train
תפ_49156-08-15,drugs,train
תפ_15783-08-22,drugs,train
תפ_60057-12-19,drugs,train
תפ_70876-12-20,drugs,train
תפ_50774-11-15,drugs,train
תפ_6793-04-23,drugs,train
תפ_32793-08-18,drugs,test
תפ_56624-12-19,drugs,test
תפ_19705-09-23,drugs,train
תפ_41072-03-14,drugs,test
תפ_10335-07-17,drugs,train
תפ_33666-05-15,drugs,test
תפ_28241-11-15,drugs,train
תפ_20339-09-19,drugs,test
תפ_2211-11-19,drugs,test
תפ_47843-02-15,drugs,train
תפ_38435-11-17,drugs,train
תפ_380-04-21,drugs,test
תפ_20796-10-23,drugs,train
תפ_36775-09-19,drugs,train
תפ_1783-04-23,drugs,train
תפ_53035-03-23,drugs,train
תפ_33024-01-18,drugs,train
תפ_45937-12-18,drugs,train
תפ_26839-11-16,drugs,train
תפ_36367-09-19,drugs,train
תפ_59947-08-20,drugs,train
תפ_20652-08-24,drugs,train
תפ_33805-05-21,drugs,train
תפ_46173-08-15,drugs,train
תפ_34197-11-21,drugs,train
תפ_21086-11-21,drugs,train
תפ_50631-06-23,drugs,train
תפ_24551-06-22,drugs,train
תפ_39612-02-20,drugs,test
תפ_4559-10-21,drugs,train
תפ_30310-09-23,drugs,train
תפ_33932-08-15,drugs,train
תפ_50970-11-21,drugs,train
תפ_36892-08-19,drugs,test
תפ_31602-06-20,drugs,test
פל_13776-06-21,drugs,train
תפ_13322-07-22,drugs,train
תפ_8304-05-20,drugs,train
תפ_14615-05-21,drugs,train
תפ_5502-10-15,drugs,test
תפ_30964-11-18,drugs,train
תפ_21108-02-24,drugs,train
תפ_52204-12-21,drugs,train
תפ_9851-11-21,drugs,train
תפ_63997-02-19,drugs,train
תפ_9145-10-19,drugs,train
תפ_48071-01-23,drugs,train
תפ_30678-02-22,drugs,train
תפ_21059-03-16,drugs,train
תפח_5000-08-14,drugs,train
תפ_41870-05-22,drugs,train
תפ_18353-12-19,drugs,train
תפ_65763-12-19,drugs,train
תפ_62333-01-23,drugs,train
תפ_64772-05-22,drugs,train
תפ_45061-05-15,drugs,train
תפ_32835-09-21,drugs,train
תפ_5775-02-18,drugs,train
תפ_35581-05-22,drugs,train
תפ_13704-12-23,drugs,train
תפ_19988-08-19,drugs,test
תפ_37259-10-15,drugs,train
תפ_30013-04-21,drugs,train
תפ_9270-02-21,drugs,train
תפ_53805-09-16,drugs,test
תפ_46497-09-16,drugs,train
תפ_6659-02-21,drugs,train
תפ_54723-06-22,drugs,test
תפ_15596-04-19,drugs,test
תפ_63473-06-19,drugs,train
תפ_21712-09-15,drugs,train
תפ_15564-04-14,drugs,train
תפ_2330-02-20,drugs,train
תפ_61820-08-21,drugs,test
תפ_54340-08-19,drugs,train
תפ_10788-12-21,drugs,train
תפ_26126-03-22,drugs,train
תפ_15616-09-14,drugs,train
תפ_11969-01-18,drugs,train
תפ_3859-05-15,drugs,test
תפ_37850-05-17,drugs,train
תפ_31909-10-15,drugs,train
תפ_38201-09-22,drugs,train
תפ_1470-07-16,drugs,train
תפ_2802-11-19,drugs,train
תפ_39647-01-20,drugs,train
תפ_56293-06-21,drugs,test
תפ_31007-07-16,drugs,train
תפ_69202-11-18,drugs,test
תפ_10108-11-21,drugs,train
תפ_46221-08-23,drugs,train
תפ_21503-07-23,drugs,train
תפ_26526-09-21,drugs,train
תפ_34581-05-24,drugs,train
תפ_29631-04-13,drugs,train
תפ_46868-01-17,drugs,train
תפ_29216-07-16,drugs,train
תפ_41833-08-23,drugs,train
תפ_57250-07-24,drugs,test
תפ_33040-09-24,drugs,train
תפ_50979-06-22,drugs,train
תפ_28931-09-20,drugs,train
תפ_3688-07-15,drugs,test
תפ_47627-07-15,drugs,train
תפ_1418-12-17,drugs,train
תפ_61158-05-20,drugs,train
תפ_54845-01-19,drugs,train
תפ_56018-10-19,drugs,train
תפ_44882-08-13,drugs,test
תפ_53452-10-21,drugs,train
תפ_41174-02-18,drugs,train
תפ_54137-11-19,drugs,train
תפ_19902-12-16,drugs,test
תפ_48394-03-21,drugs,train
תפק_6666-09-19,drugs,train
תפ_8222-04-24,drugs,train
תפ_16020-10-22,drugs,train
תפ_69561-01-23,drugs,train
תפ_37696-03-23,drugs,train
תפ_12320-10-17,drugs,test
תפ_6988-08-22,drugs,train
תפ_39230-10-21,drugs,test
תפ_33197-04-22,drugs,train
תפ_42359-08-18,drugs,train
תפ_62155-10-21,drugs,train
תפ_60029-08-18,drugs,train
תפ_27819-06-21,drugs,train
תפ_17404-07-18,drugs,test
תפ_10901-10-17,drugs,train
תפ_51938-04-21,drugs,train
תפ_9210-02-20,drugs,train
תפ_46039-04-17,drugs,test
תפ_37567-12-14,drugs,train
תפ_36797-07-23,drugs,train
תפ_8306-11-23,drugs,test
תפ_8483-03-16,drugs,train
תפ_24253-04-16,drugs,train
תפ_18479-10-21,drugs,train
תפ_49410-09-23,drugs,train
תפ_54208-06-22,drugs,train
תפ_12265-09-24,drugs,test
תפ_59199-09-19,drugs,train
תפ_1062-08-22,drugs,test
תפ_16419-02-21,drugs,train
תפ_60321-05-21,drugs,train
תפ_58505-11-19,drugs,train
