domain,rep,model,QWK_CV30,Spearman,Kendall,Ordinal_AUC
drugs,Raw-Facts,gpt52,0.7482,0.7451,0.626,0.9141
drugs,Raw-Facts,gpt51_thinking,0.8255,0.7414,0.6245,0.9122
drugs,Raw-Facts,claude_sonnet_4_6,0.7644,0.7551,0.6435,0.9176
drugs,Raw-Facts,gemini_25_pro,0.7853,0.7009,0.5909,0.8892
drugs,Raw-Facts,gemini_3_flash,0.7954,0.7225,0.6015,0.9017
drugs,Raw-Facts,gemma3_27b,0.7513,0.7438,0.6497,0.9084
drugs,Raw-Facts,gemma4_31b_or,0.7959,0.7331,0.6268,0.9059
drugs,Raw-Facts,llama3_70b,0.6629,0.687,0.5851,0.8816
drugs,Raw-Facts,qwen3_vl_235b_or,0.7474,0.7297,0.6289,0.9024
drugs,Hybrid-Manual,gpt4,0.7798,0.7881,0.6666,0.9366
drugs,Hybrid-Manual,gpt5mini,0.7432,0.7897,0.6606,0.9382
drugs,Hybrid-Manual,gpt52,0.7414,0.7836,0.656,0.9351
drugs,Hybrid-Manual,gpt51_thinking,0.7953,0.7714,0.6484,0.9289
drugs,Hybrid-Manual,claude_sonnet_4_6,0.7119,0.7998,0.6781,0.9437
drugs,Hybrid-Manual,gemini_25_pro,0.7677,0.7683,0.6499,0.9222
drugs,Hybrid-Manual,gemini_3_flash,0.77,0.7612,0.6323,0.9234
drugs,Hybrid-Manual,gemma3_27b,0.7153,0.7774,0.6791,0.9267
drugs,Hybrid-Manual,gemma4_31b_or,0.8082,0.7975,0.6869,0.9393
drugs,Hybrid-Manual,llama3_70b,0.7366,0.7137,0.5951,0.899
drugs,Hybrid-Manual,qwen3_vl_235b_or,0.7139,0.7532,0.6466,0.916
drugs,Hybrid-Full,gpt4,0.8252,0.758,0.6328,0.9214
drugs,Hybrid-Full,gpt5mini,0.7453,0.7532,0.6308,0.9195
drugs,Hybrid-Full,gpt52,0.6969,0.7492,0.6217,0.9187
drugs,Hybrid-Full,gpt51_thinking,0.759,0.7572,0.6324,0.9216
drugs,Hybrid-Full,claude_sonnet_4_6,0.7804,0.7761,0.6527,0.9324
drugs,Hybrid-Full,gemini_25_pro,0.8019,0.7509,0.6403,0.9112
drugs,Hybrid-Full,gemini_3_flash,0.7148,0.7656,0.64,0.9261
drugs,Hybrid-Full,gemma3_27b,0.7927,0.7748,0.6718,0.9262
drugs,Hybrid-Full,gemma4_31b_or,0.7513,0.7751,0.6659,0.9295
drugs,Hybrid-Full,llama3_70b,0.801,0.7509,0.6263,0.9178
drugs,Hybrid-Full,qwen3_vl_235b_or,0.7909,0.7854,0.6814,0.9334
weapon,Manual,gpt4,0.7364,0.7736,0.649,0.9284
weapon,Manual,gpt5mini,0.8065,0.7996,0.6741,0.9459
weapon,Manual,gpt52,0.7449,0.7699,0.6505,0.9269
weapon,Manual,gpt51_thinking,0.7768,0.7886,0.6609,0.9372
weapon,Manual,claude_sonnet_4_6,0.7832,0.7973,0.6658,0.9418
weapon,Manual,gemini_25_pro,0.6963,0.7505,0.6331,0.914
weapon,Manual,gemini_3_flash,0.7456,0.779,0.6537,0.9343
weapon,Manual,gemma3_27b,0.5952,0.6698,0.5811,0.8628
weapon,Manual,gemma4_31b_or,0.7952,0.8031,0.6903,0.9442
weapon,Manual,llama3_70b,0.639,0.6601,0.5718,0.8616
weapon,Manual,qwen3_vl_235b_or,0.7815,0.7682,0.6571,0.9233
weapon,GPT-Schema,gpt4,0.6738,0.7358,0.6152,0.9097
weapon,GPT-Schema,gpt5mini,0.7222,0.7486,0.6193,0.9159
weapon,GPT-Schema,gpt52,0.6649,0.7282,0.6099,0.904
weapon,GPT-Schema,gpt51_thinking,0.731,0.754,0.6288,0.9198
weapon,GPT-Schema,claude_sonnet_4_6,0.764,0.7767,0.6483,0.9315
weapon,GPT-Schema,gemini_25_pro,0.6996,0.7365,0.6274,0.9035
weapon,GPT-Schema,gemini_3_flash,0.7857,0.7611,0.6335,0.9231
weapon,GPT-Schema,gemma3_27b,0.5652,0.6558,0.5763,0.8506
weapon,GPT-Schema,gemma4_31b_or,0.7753,0.7959,0.683,0.9399
weapon,GPT-Schema,llama3_70b,0.4887,0.5803,0.5082,0.8177
weapon,GPT-Schema,qwen3_vl_235b_or,0.6692,0.7147,0.6002,0.8936
weapon,GPT-Free,gpt4,0.706,0.6743,0.5564,0.8725
weapon,GPT-Free,gpt5mini,0.6681,0.6894,0.5691,0.8837
weapon,GPT-Free,gpt52,0.6354,0.7104,0.5869,0.8924
weapon,GPT-Free,gpt51_thinking,0.7385,0.7212,0.5971,0.8976
weapon,GPT-Free,claude_sonnet_4_6,0.7238,0.7154,0.5868,0.8964
weapon,GPT-Free,gemini_25_pro,0.5896,0.6568,0.5569,0.8594
weapon,GPT-Free,gemini_3_flash,0.7207,0.7078,0.5781,0.8929
weapon,GPT-Free,gemma3_27b,0.62,0.6586,0.5532,0.8563
weapon,GPT-Free,gemma4_31b_or,0.7068,0.7149,0.5941,0.8937
weapon,GPT-Free,llama3_70b,0.5276,0.579,0.49,0.8125
weapon,GPT-Free,qwen3_vl_235b_or,0.6606,0.6304,0.5361,0.8456
weapon,GPT-Law,gpt4,0.6829,0.6901,0.5754,0.8815
weapon,GPT-Law,gpt5mini,0.7748,0.7121,0.5841,0.8951
weapon,GPT-Law,gpt52,0.6666,0.7177,0.5983,0.8963
weapon,GPT-Law,gpt51_thinking,0.7324,0.7219,0.5982,0.8996
weapon,GPT-Law,claude_sonnet_4_6,0.7242,0.7236,0.6032,0.9019
weapon,GPT-Law,gemini_25_pro,0.6624,0.6747,0.5689,0.8707
weapon,GPT-Law,gemini_3_flash,0.6623,0.6891,0.5615,0.8808
weapon,GPT-Law,gemma3_27b,0.6117,0.668,0.5794,0.8593
weapon,GPT-Law,gemma4_31b_or,0.6816,0.7235,0.6043,0.9012
weapon,GPT-Law,llama3_70b,0.4525,0.5245,0.4454,0.7825
weapon,GPT-Law,qwen3_vl_235b_or,0.5938,0.6678,0.5675,0.8661
weapon,Raw-Facts,gpt4,0.6697,0.6902,0.5752,0.8818
weapon,Raw-Facts,gpt5mini,0.527,0.6515,0.5483,0.8635
weapon,Raw-Facts,gpt52,0.6903,0.712,0.5955,0.8954
weapon,Raw-Facts,gpt51_thinking,0.6781,0.6751,0.5574,0.8736
weapon,Raw-Facts,claude_sonnet_4_6,0.7465,0.711,0.5864,0.8945
weapon,Raw-Facts,gemini_25_pro,0.6456,0.651,0.5514,0.8573
weapon,Raw-Facts,gemini_3_flash,0.6882,0.679,0.5605,0.8754
weapon,Raw-Facts,gemma3_27b,0.6832,0.6941,0.6003,0.8809
weapon,Raw-Facts,gemma4_31b_or,0.6541,0.6792,0.5728,0.8756
weapon,Raw-Facts,llama3_70b,0.6476,0.6692,0.5752,0.8547
weapon,Raw-Facts,qwen3_vl_235b_or,0.6569,0.6863,0.5759,0.8788
weapon,Hybrid-Manual,gpt4,0.7503,0.7795,0.6559,0.9314
weapon,Hybrid-Manual,gpt5mini,0.7239,0.7653,0.643,0.9283
weapon,Hybrid-Manual,gpt52,0.7168,0.7601,0.6417,0.9216
weapon,Hybrid-Manual,gpt51_thinking,0.8139,0.7841,0.661,0.9348
weapon,Hybrid-Manual,claude_sonnet_4_6,0.7232,0.7765,0.6485,0.9289
weapon,Hybrid-Manual,gemini_25_pro,0.6663,0.6878,0.5842,0.8755
weapon,Hybrid-Manual,gemini_3_flash,0.7564,0.7626,0.6387,0.9234
weapon,Hybrid-Manual,gemma3_27b,0.6079,0.6499,0.5647,0.8493
weapon,Hybrid-Manual,gemma4_31b_or,0.7646,0.768,0.6545,0.9264
weapon,Hybrid-Manual,llama3_70b,0.5084,0.6211,0.5329,0.839
weapon,Hybrid-Manual,qwen3_vl_235b_or,0.6897,0.7455,0.6426,0.9125
weapon,Hybrid-Full,gpt4,0.7318,0.7646,0.641,0.9235
weapon,Hybrid-Full,gpt5mini,0.6704,0.7489,0.6222,0.9122
weapon,Hybrid-Full,gpt52,0.6922,0.7501,0.6313,0.9175
weapon,Hybrid-Full,gpt51_thinking,0.7541,0.7637,0.6389,0.9243
weapon,Hybrid-Full,claude_sonnet_4_6,0.7917,0.7704,0.6379,0.9263
weapon,Hybrid-Full,gemini_25_pro,0.609,0.6967,0.5957,0.8795
weapon,Hybrid-Full,gemini_3_flash,0.7312,0.7649,0.6317,0.9235
weapon,Hybrid-Full,gemma3_27b,0.647,0.6734,0.5813,0.8623
weapon,Hybrid-Full,gemma4_31b_or,0.7464,0.7677,0.6448,0.9245
weapon,Hybrid-Full,llama3_70b,0.6525,0.6648,0.5715,0.8637
weapon,Hybrid-Full,qwen3_vl_235b_or,0.7046,0.7345,0.6243,0.9024
