model,representation,domain,task,status
gpt5mini,fe_legacy_from_structured,weapon,binary_0,missing
gpt5mini,fe_legacy_from_structured,weapon,binary_1,missing
gpt5mini,fe_gpt_schema,drugs,binary_0,missing
gpt5mini,fe_gpt_schema,drugs,binary_1,missing
gpt5mini,fe_gpt_schema,weapon,binary_0,missing
gpt5mini,fe_gpt_schema,weapon,binary_1,missing
gpt5mini,gpt_law,drugs,binary_0,completed
gpt5mini,gpt_law,drugs,binary_1,completed
gpt5mini,gpt_law,weapon,binary_0,completed
gpt5mini,gpt_law,weapon,binary_1,completed
gpt5mini,gpt_free,drugs,binary_0,completed
gpt5mini,gpt_free,drugs,binary_1,completed
gpt5mini,gpt_free,weapon,binary_0,completed
gpt5mini,gpt_free,weapon,binary_1,completed
gpt5mini,hybrid_manual_gpt,drugs,binary_0,completed
gpt5mini,hybrid_manual_gpt,drugs,binary_1,completed
gpt5mini,hybrid_manual_gpt,weapon,binary_0,completed
gpt5mini,hybrid_manual_gpt,weapon,binary_1,completed
gpt5mini,hybrid_gpt,drugs,binary_0,missing
gpt5mini,hybrid_gpt,drugs,binary_1,missing
gpt5mini,hybrid_gpt,weapon,binary_0,missing
gpt5mini,hybrid_gpt,weapon,binary_1,missing
gpt5mini,hybrid_full_gpt,drugs,binary_0,completed
gpt5mini,hybrid_full_gpt,drugs,binary_1,completed
gpt5mini,hybrid_full_gpt,weapon,binary_0,completed
gpt5mini,hybrid_full_gpt,weapon,binary_1,completed
qwen3_235b,facts,drugs,binary_0,completed
qwen3_235b,facts,drugs,binary_1,completed
qwen3_235b,facts,weapon,binary_0,completed
qwen3_235b,facts,weapon,binary_1,completed
qwen3_235b,manual_fe,drugs,binary_0,completed
qwen3_235b,manual_fe,drugs,binary_1,completed
qwen3_235b,manual_fe,weapon,binary_0,completed
qwen3_235b,manual_fe,weapon,binary_1,completed
qwen3_235b,fe_manual_format,drugs,binary_0,missing
qwen3_235b,fe_manual_format,drugs,binary_1,missing
qwen3_235b,fe_manual_format,weapon,binary_0,missing
qwen3_235b,fe_manual_format,weapon,binary_1,missing
qwen3_235b,fe_legacy_from_structured,drugs,binary_0,missing
qwen3_235b,fe_legacy_from_structured,drugs,binary_1,missing
qwen3_235b,fe_legacy_from_structured,weapon,binary_0,missing
qwen3_235b,fe_legacy_from_structured,weapon,binary_1,missing
qwen3_235b,fe_gpt_schema,drugs,binary_0,missing
qwen3_235b,fe_gpt_schema,drugs,binary_1,missing
qwen3_235b,fe_gpt_schema,weapon,binary_0,missing
qwen3_235b,fe_gpt_schema,weapon,binary_1,missing
qwen3_235b,gpt_law,drugs,binary_0,completed
qwen3_235b,gpt_law,drugs,binary_1,completed
qwen3_235b,gpt_law,weapon,binary_0,completed
qwen3_235b,gpt_law,weapon,binary_1,completed
qwen3_235b,gpt_free,drugs,binary_0,completed
qwen3_235b,gpt_free,drugs,binary_1,completed
qwen3_235b,gpt_free,weapon,binary_0,completed
qwen3_235b,gpt_free,weapon,binary_1,completed
qwen3_235b,hybrid_manual_gpt,drugs,binary_0,completed
qwen3_235b,hybrid_manual_gpt,drugs,binary_1,completed
qwen3_235b,hybrid_manual_gpt,weapon,binary_0,completed
qwen3_235b,hybrid_manual_gpt,weapon,binary_1,completed
qwen3_235b,hybrid_gpt,drugs,binary_0,missing
qwen3_235b,hybrid_gpt,drugs,binary_1,missing
qwen3_235b,hybrid_gpt,weapon,binary_0,missing
qwen3_235b,hybrid_gpt,weapon,binary_1,missing
qwen3_235b,hybrid_full_gpt,drugs,binary_0,completed
qwen3_235b,hybrid_full_gpt,drugs,binary_1,completed
qwen3_235b,hybrid_full_gpt,weapon,binary_0,completed
qwen3_235b,hybrid_full_gpt,weapon,binary_1,completed
mistral,facts,drugs,binary_0,completed
mistral,facts,drugs,binary_1,completed
mistral,facts,weapon,binary_0,completed
mistral,facts,weapon,binary_1,completed
mistral,manual_fe,drugs,binary_0,completed
mistral,manual_fe,drugs,binary_1,completed
mistral,manual_fe,weapon,binary_0,completed
mistral,manual_fe,weapon,binary_1,completed
mistral,fe_manual_format,drugs,binary_0,missing
mistral,fe_manual_format,drugs,binary_1,missing
mistral,fe_manual_format,weapon,binary_0,missing
mistral,fe_manual_format,weapon,binary_1,missing
mistral,fe_legacy_from_structured,drugs,binary_0,missing
mistral,fe_legacy_from_structured,drugs,binary_1,missing
mistral,fe_legacy_from_structured,weapon,binary_0,missing
mistral,fe_legacy_from_structured,weapon,binary_1,missing
mistral,fe_gpt_schema,drugs,binary_0,missing
mistral,fe_gpt_schema,drugs,binary_1,missing
mistral,fe_gpt_schema,weapon,binary_0,missing
mistral,fe_gpt_schema,weapon,binary_1,missing
mistral,gpt_law,drugs,binary_0,missing
mistral,gpt_law,drugs,binary_1,missing
mistral,gpt_law,weapon,binary_0,completed
mistral,gpt_law,weapon,binary_1,completed
mistral,gpt_free,drugs,binary_0,missing
mistral,gpt_free,drugs,binary_1,missing
mistral,gpt_free,weapon,binary_0,completed
mistral,gpt_free,weapon,binary_1,completed
mistral,hybrid_manual_gpt,drugs,binary_0,completed
mistral,hybrid_manual_gpt,drugs,binary_1,completed
mistral,hybrid_manual_gpt,weapon,binary_0,completed
mistral,hybrid_manual_gpt,weapon,binary_1,completed
mistral,hybrid_gpt,drugs,binary_0,missing
mistral,hybrid_gpt,drugs,binary_1,missing
mistral,hybrid_gpt,weapon,binary_0,missing
mistral,hybrid_gpt,weapon,binary_1,missing
mistral,hybrid_full_gpt,drugs,binary_0,missing
mistral,hybrid_full_gpt,drugs,binary_1,missing
mistral,hybrid_full_gpt,weapon,binary_0,completed
mistral,hybrid_full_gpt,weapon,binary_1,completed
llama3_70b,facts,drugs,binary_0,completed
llama3_70b,facts,drugs,binary_1,completed
llama3_70b,facts,weapon,binary_0,completed
llama3_70b,facts,weapon,binary_1,completed
llama3_70b,manual_fe,drugs,binary_0,completed
llama3_70b,manual_fe,drugs,binary_1,completed
llama3_70b,manual_fe,weapon,binary_0,completed
llama3_70b,manual_fe,weapon,binary_1,completed
llama3_70b,fe_manual_format,drugs,binary_0,missing
llama3_70b,fe_manual_format,drugs,binary_1,missing
llama3_70b,fe_manual_format,weapon,binary_0,missing
llama3_70b,fe_manual_format,weapon,binary_1,missing
llama3_70b,fe_legacy_from_structured,drugs,binary_0,missing
llama3_70b,fe_legacy_from_structured,drugs,binary_1,missing
llama3_70b,fe_legacy_from_structured,weapon,binary_0,missing
llama3_70b,fe_legacy_from_structured,weapon,binary_1,missing
llama3_70b,fe_gpt_schema,drugs,binary_0,missing
llama3_70b,fe_gpt_schema,drugs,binary_1,missing
llama3_70b,fe_gpt_schema,weapon,binary_0,missing
llama3_70b,fe_gpt_schema,weapon,binary_1,missing
llama3_70b,gpt_law,drugs,binary_0,completed
llama3_70b,gpt_law,drugs,binary_1,completed
llama3_70b,gpt_law,weapon,binary_0,completed
llama3_70b,gpt_law,weapon,binary_1,completed
llama3_70b,gpt_free,drugs,binary_0,completed
llama3_70b,gpt_free,drugs,binary_1,completed
llama3_70b,gpt_free,weapon,binary_0,completed
llama3_70b,gpt_free,weapon,binary_1,completed
llama3_70b,hybrid_manual_gpt,drugs,binary_0,completed
llama3_70b,hybrid_manual_gpt,drugs,binary_1,completed
llama3_70b,hybrid_manual_gpt,weapon,binary_0,completed
llama3_70b,hybrid_manual_gpt,weapon,binary_1,completed
llama3_70b,hybrid_gpt,drugs,binary_0,missing
llama3_70b,hybrid_gpt,drugs,binary_1,missing
llama3_70b,hybrid_gpt,weapon,binary_0,missing
llama3_70b,hybrid_gpt,weapon,binary_1,missing
llama3_70b,hybrid_full_gpt,drugs,binary_0,completed
llama3_70b,hybrid_full_gpt,drugs,binary_1,completed
llama3_70b,hybrid_full_gpt,weapon,binary_0,completed
llama3_70b,hybrid_full_gpt,weapon,binary_1,completed
gpt52,facts,drugs,binary_0,completed
gpt52,facts,drugs,binary_1,completed
gpt52,facts,weapon,binary_0,completed
gpt52,facts,weapon,binary_1,completed
gpt52,manual_fe,drugs,binary_0,completed
gpt52,manual_fe,drugs,binary_1,completed
gpt52,manual_fe,weapon,binary_0,completed
gpt52,manual_fe,weapon,binary_1,completed
gpt52,fe_manual_format,drugs,binary_0,missing
gpt52,fe_manual_format,drugs,binary_1,missing
gpt52,fe_manual_format,weapon,binary_0,missing
gpt52,fe_manual_format,weapon,binary_1,missing
gpt52,fe_legacy_from_structured,drugs,binary_0,missing
gpt52,fe_legacy_from_structured,drugs,binary_1,missing
gpt52,fe_legacy_from_structured,weapon,binary_0,missing
gpt52,fe_legacy_from_structured,weapon,binary_1,missing
gpt52,fe_gpt_schema,drugs,binary_0,missing
gpt52,fe_gpt_schema,drugs,binary_1,missing
gpt52,fe_gpt_schema,weapon,binary_0,missing
gpt52,fe_gpt_schema,weapon,binary_1,missing
gpt52,gpt_law,drugs,binary_0,completed
gpt52,gpt_law,drugs,binary_1,completed
gpt52,gpt_law,weapon,binary_0,completed
gpt52,gpt_law,weapon,binary_1,completed
gpt52,gpt_free,drugs,binary_0,completed
gpt52,gpt_free,drugs,binary_1,completed
gpt52,gpt_free,weapon,binary_0,completed
gpt52,gpt_free,weapon,binary_1,completed
gpt52,hybrid_manual_gpt,drugs,binary_0,completed
gpt52,hybrid_manual_gpt,drugs,binary_1,completed
gpt52,hybrid_manual_gpt,weapon,binary_0,completed
gpt52,hybrid_manual_gpt,weapon,binary_1,completed
gpt52,hybrid_gpt,drugs,binary_0,missing
gpt52,hybrid_gpt,drugs,binary_1,missing
gpt52,hybrid_gpt,weapon,binary_0,missing
gpt52,hybrid_gpt,weapon,binary_1,missing
gpt52,hybrid_full_gpt,drugs,binary_0,completed
gpt52,hybrid_full_gpt,drugs,binary_1,completed
gpt52,hybrid_full_gpt,weapon,binary_0,completed
gpt52,hybrid_full_gpt,weapon,binary_1,completed
gpt51_thinking,facts,drugs,binary_0,completed
gpt51_thinking,facts,drugs,binary_1,completed
gpt51_thinking,facts,weapon,binary_0,completed
gpt51_thinking,facts,weapon,binary_1,completed
gpt51_thinking,manual_fe,drugs,binary_0,completed
gpt51_thinking,manual_fe,drugs,binary_1,completed
gpt51_thinking,manual_fe,weapon,binary_0,completed
gpt51_thinking,manual_fe,weapon,binary_1,completed
gpt51_thinking,fe_manual_format,drugs,binary_0,missing
gpt51_thinking,fe_manual_format,drugs,binary_1,missing
gpt51_thinking,fe_manual_format,weapon,binary_0,missing
gpt51_thinking,fe_manual_format,weapon,binary_1,missing
gpt51_thinking,fe_legacy_from_structured,drugs,binary_0,missing
gpt51_thinking,fe_legacy_from_structured,drugs,binary_1,missing
gpt51_thinking,fe_legacy_from_structured,weapon,binary_0,missing
gpt51_thinking,fe_legacy_from_structured,weapon,binary_1,missing
gpt51_thinking,fe_gpt_schema,drugs,binary_0,missing
gpt51_thinking,fe_gpt_schema,drugs,binary_1,missing
gpt51_thinking,fe_gpt_schema,weapon,binary_0,missing
gpt51_thinking,fe_gpt_schema,weapon,binary_1,missing
gpt51_thinking,gpt_law,drugs,binary_0,completed
gpt51_thinking,gpt_law,drugs,binary_1,completed
gpt51_thinking,gpt_law,weapon,binary_0,completed
gpt51_thinking,gpt_law,weapon,binary_1,completed
gpt51_thinking,gpt_free,drugs,binary_0,completed
gpt51_thinking,gpt_free,drugs,binary_1,completed
gpt51_thinking,gpt_free,weapon,binary_0,completed
gpt51_thinking,gpt_free,weapon,binary_1,completed
gpt51_thinking,hybrid_manual_gpt,drugs,binary_0,completed
gpt51_thinking,hybrid_manual_gpt,drugs,binary_1,completed
gpt51_thinking,hybrid_manual_gpt,weapon,binary_0,completed
gpt51_thinking,hybrid_manual_gpt,weapon,binary_1,completed
gpt51_thinking,hybrid_gpt,drugs,binary_0,missing
gpt51_thinking,hybrid_gpt,drugs,binary_1,missing
gpt51_thinking,hybrid_gpt,weapon,binary_0,missing
gpt51_thinking,hybrid_gpt,weapon,binary_1,missing
gpt51_thinking,hybrid_full_gpt,drugs,binary_0,completed
gpt51_thinking,hybrid_full_gpt,drugs,binary_1,completed
gpt51_thinking,hybrid_full_gpt,weapon,binary_0,completed
gpt51_thinking,hybrid_full_gpt,weapon,binary_1,completed
qwen_hf,facts,drugs,binary_0,completed
qwen_hf,facts,drugs,binary_1,completed
qwen_hf,facts,weapon,binary_0,completed
qwen_hf,facts,weapon,binary_1,completed
qwen_hf,manual_fe,drugs,binary_0,completed
qwen_hf,manual_fe,drugs,binary_1,completed
qwen_hf,manual_fe,weapon,binary_0,completed
qwen_hf,manual_fe,weapon,binary_1,completed
qwen_hf,fe_manual_format,drugs,binary_0,missing
qwen_hf,fe_manual_format,drugs,binary_1,missing
qwen_hf,fe_manual_format,weapon,binary_0,missing
qwen_hf,fe_manual_format,weapon,binary_1,missing
qwen_hf,fe_legacy_from_structured,drugs,binary_0,missing
qwen_hf,fe_legacy_from_structured,drugs,binary_1,missing
qwen_hf,fe_legacy_from_structured,weapon,binary_0,missing
qwen_hf,fe_legacy_from_structured,weapon,binary_1,missing
qwen_hf,fe_gpt_schema,drugs,binary_0,missing
qwen_hf,fe_gpt_schema,drugs,binary_1,missing
qwen_hf,fe_gpt_schema,weapon,binary_0,missing
qwen_hf,fe_gpt_schema,weapon,binary_1,missing
qwen_hf,gpt_law,drugs,binary_0,completed
qwen_hf,gpt_law,drugs,binary_1,completed
qwen_hf,gpt_law,weapon,binary_0,completed
qwen_hf,gpt_law,weapon,binary_1,completed
qwen_hf,gpt_free,drugs,binary_0,completed
qwen_hf,gpt_free,drugs,binary_1,completed
qwen_hf,gpt_free,weapon,binary_0,completed
qwen_hf,gpt_free,weapon,binary_1,completed
qwen_hf,hybrid_manual_gpt,drugs,binary_0,completed
qwen_hf,hybrid_manual_gpt,drugs,binary_1,completed
qwen_hf,hybrid_manual_gpt,weapon,binary_0,completed
qwen_hf,hybrid_manual_gpt,weapon,binary_1,completed
qwen_hf,hybrid_gpt,drugs,binary_0,missing
qwen_hf,hybrid_gpt,drugs,binary_1,missing
qwen_hf,hybrid_gpt,weapon,binary_0,missing
qwen_hf,hybrid_gpt,weapon,binary_1,missing
qwen_hf,hybrid_full_gpt,drugs,binary_0,completed
qwen_hf,hybrid_full_gpt,drugs,binary_1,completed
qwen_hf,hybrid_full_gpt,weapon,binary_0,completed
qwen_hf,hybrid_full_gpt,weapon,binary_1,completed
gemini_25_pro,facts,drugs,binary_0,completed
gemini_25_pro,facts,drugs,binary_1,completed
gemini_25_pro,facts,weapon,binary_0,completed
gemini_25_pro,facts,weapon,binary_1,completed
gemini_25_pro,manual_fe,drugs,binary_0,completed
gemini_25_pro,manual_fe,drugs,binary_1,completed
gemini_25_pro,manual_fe,weapon,binary_0,completed
gemini_25_pro,manual_fe,weapon,binary_1,completed
gemini_25_pro,fe_manual_format,drugs,binary_0,missing
gemini_25_pro,fe_manual_format,drugs,binary_1,missing
gemini_25_pro,fe_manual_format,weapon,binary_0,missing
gemini_25_pro,fe_manual_format,weapon,binary_1,missing
gemini_25_pro,fe_legacy_from_structured,drugs,binary_0,missing
gemini_25_pro,fe_legacy_from_structured,drugs,binary_1,missing
gemini_25_pro,fe_legacy_from_structured,weapon,binary_0,missing
gemini_25_pro,fe_legacy_from_structured,weapon,binary_1,missing
gemini_25_pro,fe_gpt_schema,drugs,binary_0,missing
gemini_25_pro,fe_gpt_schema,drugs,binary_1,missing
gemini_25_pro,fe_gpt_schema,weapon,binary_0,missing
gemini_25_pro,fe_gpt_schema,weapon,binary_1,missing
gemini_25_pro,gpt_law,drugs,binary_0,completed
gemini_25_pro,gpt_law,drugs,binary_1,completed
gemini_25_pro,gpt_law,weapon,binary_0,completed
gemini_25_pro,gpt_law,weapon,binary_1,completed
gemini_25_pro,gpt_free,drugs,binary_0,completed
gemini_25_pro,gpt_free,drugs,binary_1,completed
gemini_25_pro,gpt_free,weapon,binary_0,completed
gemini_25_pro,gpt_free,weapon,binary_1,completed
gemini_25_pro,hybrid_manual_gpt,drugs,binary_0,completed
gemini_25_pro,hybrid_manual_gpt,drugs,binary_1,completed
gemini_25_pro,hybrid_manual_gpt,weapon,binary_0,completed
gemini_25_pro,hybrid_manual_gpt,weapon,binary_1,completed
gemini_25_pro,hybrid_gpt,drugs,binary_0,missing
gemini_25_pro,hybrid_gpt,drugs,binary_1,missing
gemini_25_pro,hybrid_gpt,weapon,binary_0,missing
gemini_25_pro,hybrid_gpt,weapon,binary_1,missing
gemini_25_pro,hybrid_full_gpt,drugs,binary_0,completed
gemini_25_pro,hybrid_full_gpt,drugs,binary_1,completed
gemini_25_pro,hybrid_full_gpt,weapon,binary_0,completed
gemini_25_pro,hybrid_full_gpt,weapon,binary_1,completed
gemini_3_flash,facts,drugs,binary_0,completed
gemini_3_flash,facts,drugs,binary_1,completed
gemini_3_flash,facts,weapon,binary_0,completed
gemini_3_flash,facts,weapon,binary_1,completed
gemini_3_flash,manual_fe,drugs,binary_0,completed
gemini_3_flash,manual_fe,drugs,binary_1,completed
gemini_3_flash,manual_fe,weapon,binary_0,completed
gemini_3_flash,manual_fe,weapon,binary_1,completed
gemini_3_flash,fe_manual_format,drugs,binary_0,missing
gemini_3_flash,fe_manual_format,drugs,binary_1,missing
gemini_3_flash,fe_manual_format,weapon,binary_0,missing
gemini_3_flash,fe_manual_format,weapon,binary_1,missing
gemini_3_flash,fe_legacy_from_structured,drugs,binary_0,missing
gemini_3_flash,fe_legacy_from_structured,drugs,binary_1,missing
gemini_3_flash,fe_legacy_from_structured,weapon,binary_0,missing
gemini_3_flash,fe_legacy_from_structured,weapon,binary_1,missing
gemini_3_flash,fe_gpt_schema,drugs,binary_0,missing
gemini_3_flash,fe_gpt_schema,drugs,binary_1,missing
gemini_3_flash,fe_gpt_schema,weapon,binary_0,missing
gemini_3_flash,fe_gpt_schema,weapon,binary_1,missing
gemini_3_flash,gpt_law,drugs,binary_0,completed
gemini_3_flash,gpt_law,drugs,binary_1,completed
gemini_3_flash,gpt_law,weapon,binary_0,completed
gemini_3_flash,gpt_law,weapon,binary_1,completed
gemini_3_flash,gpt_free,drugs,binary_0,completed
gemini_3_flash,gpt_free,drugs,binary_1,completed
gemini_3_flash,gpt_free,weapon,binary_0,completed
gemini_3_flash,gpt_free,weapon,binary_1,completed
gemini_3_flash,hybrid_manual_gpt,drugs,binary_0,completed
gemini_3_flash,hybrid_manual_gpt,drugs,binary_1,completed
gemini_3_flash,hybrid_manual_gpt,weapon,binary_0,completed
gemini_3_flash,hybrid_manual_gpt,weapon,binary_1,completed
gemini_3_flash,hybrid_gpt,drugs,binary_0,missing
gemini_3_flash,hybrid_gpt,drugs,binary_1,missing
gemini_3_flash,hybrid_gpt,weapon,binary_0,missing
gemini_3_flash,hybrid_gpt,weapon,binary_1,missing
gemini_3_flash,hybrid_full_gpt,drugs,binary_0,completed
gemini_3_flash,hybrid_full_gpt,drugs,binary_1,completed
gemini_3_flash,hybrid_full_gpt,weapon,binary_0,completed
gemini_3_flash,hybrid_full_gpt,weapon,binary_1,completed
gemma3_27b,facts,drugs,binary_0,completed
gemma3_27b,facts,drugs,binary_1,completed
gemma3_27b,facts,weapon,binary_0,completed
gemma3_27b,facts,weapon,binary_1,completed
gemma3_27b,manual_fe,drugs,binary_0,completed
gemma3_27b,manual_fe,drugs,binary_1,completed
gemma3_27b,manual_fe,weapon,binary_0,completed
gemma3_27b,manual_fe,weapon,binary_1,completed
gemma3_27b,fe_manual_format,drugs,binary_0,missing
gemma3_27b,fe_manual_format,drugs,binary_1,missing
gemma3_27b,fe_manual_format,weapon,binary_0,missing
gemma3_27b,fe_manual_format,weapon,binary_1,missing
gemma3_27b,fe_legacy_from_structured,drugs,binary_0,missing
gemma3_27b,fe_legacy_from_structured,drugs,binary_1,missing
gemma3_27b,fe_legacy_from_structured,weapon,binary_0,missing
gemma3_27b,fe_legacy_from_structured,weapon,binary_1,missing
gemma3_27b,fe_gpt_schema,drugs,binary_0,missing
gemma3_27b,fe_gpt_schema,drugs,binary_1,missing
gemma3_27b,fe_gpt_schema,weapon,binary_0,missing
gemma3_27b,fe_gpt_schema,weapon,binary_1,missing
gemma3_27b,gpt_law,drugs,binary_0,completed
gemma3_27b,gpt_law,drugs,binary_1,completed
gemma3_27b,gpt_law,weapon,binary_0,completed
gemma3_27b,gpt_law,weapon,binary_1,completed
gemma3_27b,gpt_free,drugs,binary_0,completed
gemma3_27b,gpt_free,drugs,binary_1,completed
gemma3_27b,gpt_free,weapon,binary_0,completed
gemma3_27b,gpt_free,weapon,binary_1,completed
gemma3_27b,hybrid_manual_gpt,drugs,binary_0,completed
gemma3_27b,hybrid_manual_gpt,drugs,binary_1,completed
gemma3_27b,hybrid_manual_gpt,weapon,binary_0,completed
gemma3_27b,hybrid_manual_gpt,weapon,binary_1,completed
gemma3_27b,hybrid_gpt,drugs,binary_0,missing
gemma3_27b,hybrid_gpt,drugs,binary_1,missing
gemma3_27b,hybrid_gpt,weapon,binary_0,missing
gemma3_27b,hybrid_gpt,weapon,binary_1,missing
gemma3_27b,hybrid_full_gpt,drugs,binary_0,completed
gemma3_27b,hybrid_full_gpt,drugs,binary_1,completed
gemma3_27b,hybrid_full_gpt,weapon,binary_0,completed
gemma3_27b,hybrid_full_gpt,weapon,binary_1,completed
