canonical_id,guess_domain,has_csv
SH-15-08-19214-603,drugs,True
SH-15-10-875-707,unknown,True
SH-16-01-33806-980,drugs,True
SH-16-06-18436-622,unknown,True
SH-17-04-16673-403,unknown,True
SH-17-07-62472-416,unknown,True
SH-17-10-10901-192,drugs,True
SH-17-10-26011-795,unknown,True
SH-18-03-30065-975,unknown,True
SH-18-03-3965-968,unknown,True
SH-18-08-4000-11,unknown,False
SH-18-10-7447-444,unknown,False
SH-19-02-72806-706,drugs,True
SH-19-05-16690-311,drugs,True
SH-20-03-37644-303,unknown,True
SH-23-12-62441-64,unknown,True
SH-24-04-31984-919,unknown,True
ST-18-03-1109-909,unknown,True
ST-18-06-344-913,unknown,True
me-10-11-54232-18,unknown,False
ח_עק_27756-02-11,unknown,False
ח_עק_33296-06-11,unknown,False
ח_עק_34749-04-11,unknown,False
ח_עק_41290-05-10,unknown,False
ח_עק_55393-01-11,unknown,False
עא_1784-06,unknown,True
עא_3430-09,appeals,True
עפ_100-14,appeals,True
עפ_1048-05,appeals,True
עפ_11220-03,appeals,True
עפ_11640-05,appeals,True
עפ_1211-12,appeals,True
עפ_1238-19,appeals,True
עפ_1323-13,appeals,True
עפ_1332-04,appeals,True
עפ_1345-08,appeals,True
עפ_1473-18,appeals,True
עפ_1505-14,appeals,True
עפ_1552-15,appeals,True
עפ_1635-14,appeals,True
עפ_170-07,appeals,True
עפ_1830-16,appeals,True
עפ_1901-19,appeals,True
עפ_1932-15,appeals,True
עפ_1987-15,appeals,True
עפ_2000-06,appeals,True
עפ_2047-07,appeals,True
עפ_2194-14,appeals,True
עפ_2251-11,appeals,True
עפ_2277-21,drugs,True
עפ_2283-22,appeals,True
עפ_2333-13,appeals,True
עפ_2422-14,appeals,True
עפ_2432-15,appeals,True
עפ_2468-16,appeals,True
עפ_2482-22,appeals,True
עפ_2533-10,appeals,True
עפ_2564-19,appeals,True
עפ_2596-18,appeals,True
עפ_262-06,appeals,True
עפ_2626-13,appeals,True
עפ_2718-04,appeals,True
עפ_2829-13,appeals,True
עפ_2880-23,appeals,True
עפ_2892-13,appeals,True
עפ_2933-19,appeals,True
עפ_3057-13,appeals,True
עפ_3117-12,appeals,True
עפ_314-16,appeals,True
עפ_3164-14,appeals,True
עפ_3172-13,appeals,True
עפ_3173-09,appeals,True
עפ_32-14,appeals,True
עפ_322-15,appeals,True
עפ_3255-14,appeals,True
עפ_3361-08,appeals,True
עפ_3617-13,appeals,True
עפ_3627-13,appeals,True
עפ_370-14,appeals,True
עפ_3793-18,appeals,True
עפ_3820-09,appeals,True
עפ_3877-12,appeals,True
עפ_3877-16,appeals,True
עפ_4235-14,appeals,True
עפ_4311-12,appeals,True
עפ_4381-05,appeals,True
עפ_4387-20,appeals,True
עפ_4406-19,appeals,True
עפ_4456-21,appeals,True
עפ_4460-11,appeals,True
עפ_4517-04,appeals,True
עפ_4522-18,appeals,True
עפ_4536-21,appeals,True
עפ_4592-15,appeals,True
עפ_4597-13,appeals,True
עפ_4659-12,appeals,True
עפ_49-80,appeals,True
עפ_4910-13,appeals,True
עפ_4945-13,appeals,True
עפ_4998-95,appeals,True
עפ_5004-17,appeals,True
עפ_512-13,appeals,True
עפ_513-21,appeals,True
עפ_5195-11,appeals,True
עפ_5297-07,appeals,True
עפ_5353-17,appeals,True
עפ_5354-12,drugs,True
עפ_5469-13,appeals,True
עפ_5478-19,appeals,True
עפ_5494-19,appeals,True
עפ_5590-16,appeals,True
עפ_5602-22,appeals,True
עפ_5604-11,appeals,True
עפ_5613-20,weapon,True
עפ_5681-23,appeals,True
עפ_5713-10,appeals,True
עפ_5717-14,appeals,True
עפ_5746-06,appeals,True
עפ_5753-04,appeals,True
עפ_5761-05,appeals,True
עפ_5768-10,appeals,True
עפ_5769-14,appeals,True
עפ_5806-22,appeals,True
עפ_5807-17,appeals,True
עפ_5827-02,appeals,True
עפ_5833-07,appeals,True
עפ_5877-13,appeals,True
עפ_5936-13,appeals,True
עפ_6161-16,appeals,True
עפ_617-15,appeals,True
עפ_6210-13,appeals,True
עפ_6235-22,appeals,True
עפ_6260-05,appeals,True
עפ_6277-14,appeals,True
עפ_6299-20,appeals,True
עפ_6341-14,appeals,True
עפ_635-05,appeals,True
עפ_636-21,appeals,True
עפ_6373-06,appeals,True
עפ_6383-21,appeals,True
עפ_6390-20,appeals,True
עפ_6496-21,appeals,True
עפ_6583-06,appeals,True
עפ_6720-16,appeals,True
עפ_6758-07,appeals,True
עפ_6886-17,appeals,True
עפ_6989-13,appeals,True
עפ_7005-14,drugs,True
עפ_7044-11,appeals,True
עפ_7070-03,appeals,True
עפ_7386-13,appeals,True
עפ_7416-15,appeals,True
עפ_7502-12,appeals,True
עפ_7510-00,appeals,True
עפ_761-07,appeals,True
עפ_7681-13,appeals,True
עפ_7720-12,appeals,True
עפ_7779-15,appeals,True
עפ_7781-12,appeals,True
עפ_7850-21,appeals,True
עפ_7881-20,appeals,True
עפ_7907-14,appeals,True
עפ_792-10,appeals,True
עפ_7952-15,appeals,True
עפ_7996-12,appeals,True
עפ_8012-04,appeals,True
עפ_8045-17,appeals,True
עפ_8048-19,appeals,True
עפ_8087-03,appeals,True
עפ_8092-04,appeals,True
עפ_8340-14,appeals,True
עפ_8421-12,appeals,True
עפ_8507-09,appeals,True
עפ_8768-12,appeals,True
עפ_8820-14,appeals,True
עפ_8988-16,appeals,True
עפ_907-14,appeals,True
עפ_9349-07,appeals,True
עפ_9482-09,appeals,True
עפ_972-11,appeals,True
עפ_9821-16,appeals,True
שא_4242-06,appeals,True
שפ_1866-07,unknown,True
שפ_8640-20,unknown,True
שפ_929-15,appeals,True
תפ_000120-06,unknown,True
תפ_000174-03,unknown,True
תפ_000288-08,unknown,True
תפ_000478-04,unknown,True
תפ_001019-04,unknown,True
תפ_001022-04,unknown,True
תפ_001023-05,unknown,True
תפ_001182-02,unknown,True
תפ_001347-02,drugs,True
תפ_004986-01,weapon,True
תפ_138-08,unknown,True
תפ_175-08,weapon,True
תפ_3110-07,weapon,True
תפ_3154-04,unknown,True
תפ_325-09,weapon,True
תפ_40065-04,weapon,True
תפ_40326-03,weapon,True
תפ_4354-02,weapon,True
תפ_448-04,unknown,True
תפ_4530-05,unknown,True
תפ_7303-04,unknown,True
תפ_988-05,weapon,True
