cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
70,שימוש_ברכב,6,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,1,6,5,שימוש_ברכב ; השימוש_ברכב_לביצוע_העבירה ; נעשה_שימוש_ברכב ; נעשה_שימוש_ברכבים ; שימוש_ברכב_לביצוע_העבירה ; שימוש_ברכב_לצורך_העבירה
101,מספר_עבירות,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,1,5,5,מספר_עבירות ; מספר_עבירות_סחר ; מספר_עבירות_אחזקה ; מספר_עבירות_אחרות ; מספר_עבירות_כללי
19,ציוד לגידול,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,2,7,2,ציוד_לגידול ; ציוד_לגידול_סם ; ציוד_לגידול_והכנה ; ציוד_לגידול_והכנת_סם ; ציוד_לגידול_וסחר
5,מקום האירוע,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,8,1,1,מקום_האירוע ; מיקום_האירוע ; מיקום_העבירה_אירוע_1 ; מיקום_העבירה_אירוע_2 ; מקום_האירועים
902,מיקום העסקאות,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,5,3,4,מיקום_העסקאות ; מקום_העסקה ; מיקום_העסקה ; מיקום_העסקה_1
94,שיטת תקשורת,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,7,1,2,שיטת_תקשורת ; שיטת_התקשרות
656,מספר חבילות,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,4,2,3,3,מספר_חבילות
173,כתובת_המשלוח,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,3,3,2,כתובת_המשלוח ; כתובת_למשלוח ; כתובת_משלוח_בישראל
159,מקום המעצר,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,2,1,3,מקום_המעצר ; מיקום_המעצר ; מקום_מעצר_אלי ; מקום_מעצר_הנאשם
69,היכרות עם הסוכן,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,4,1,2,היכרות_עם_הסוכן ; היכרות_מוקדמת_עם_הסוכן ; מקום_היכרות_עם_הסוכן
501,סוג הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,3,3,1,סוג_הנשק ; סוג_נשק_שנתפס
126,עלות שכירות חודשית,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,3,2,עלות_שכירות_חודשית ; שכירות_חודשית ; שכירות_חודשית_בשקלים ; שכירות_חודשית_שולמה
1082,אמצעי תחבורה,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,3,אמצעי_תחבורה
65,מקום_קבלת_הסם,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,1,2,1,מקום_קבלת_הסם ; מיקום_המפגש_לקבלת_הסם ; מיקום_קבלת_הסם ; מקום_המפגש_לקבלת_הסם
886,מספר עציצים,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,2,1,2,מספר_עציצים
183,שווי הציוד,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,2,1,1,1,שווי_הציוד ; שווי_הציוד_במעבדה ; שווי_ציוד_במעבדה
562,כמות ממוצעת לעסקה,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,1,כמות_ממוצעת_לעסקה ; כמות_ממוצעת_לעסקה_בגרם
142,נזק לחברת חשמל,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,1,1,1,1,נזק_לחברת_חשמל ; נזק_לחברת_חשמל_שח ; סכום_הנזק_לחברת_החשמל
178,סעיפי_חוק,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,22,33,סעיפי_חוק ; סעיף_חוק
66,סוגי_סמים,7,3,Hybrid-Manual|GPT-Law|GPT-Free,3,0,17,14,סוגי_סמים ; סוגי_הסמים ; סוגי_סמים_בהחזקה ; סוגי_סמים_בעסקאות ; סוגי_סמים_למכירה ; סוגי_סמים_מעורבים ; סוגי_סמים_שהוחזקו
334,סוגי עבירות,4,3,Hybrid-Manual|GPT-Law|GPT-Free,7,0,3,17,סוגי_עבירות ; סוג_העבירות ; סוגי_עבירות_נוספות ; סוג_עבירות_נוספות
190,מקום_ביצוע,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,15,8,מקום_ביצוע ; מיקום_ביצוע ; מקום_הביצוע
100,מספר_אישומים,3,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,12,10,מספר_אישומים ; מספר_אישומים_איומים ; מספר_אישומים_בכתב_האישום
149,אמצעי_תקשורת,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,3,4,9,אמצעי_תקשורת ; אמצעי_תקשורת_בפשע
515,שיטת_ביצוע,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,9,5,שיטת_ביצוע ; שיטת_הביצוע
51,כמות_MDMA_גרם,12,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,8,5,כמות_MDMA_גרם ; כמות_MDMA_טבליות ; כמות_טבליות_MDMA ; כמות_MDMA ; כמות_MDMA_אבקה ; כמות_MDMA_אבקה_גרם ; כמות_MDMA_אישום_שלישי ; כמות_MDMA_בסך_הכל_גרם ; כמות_MDMA_כדורים ; כמות_MDMA_כדורים_נתפסו ; כמות_MDMA_נוזלי_גרם ; כמות_כדורי_MDMA_שנתפסו
2,תאריך האירוע,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,4,7,0,2,תאריך_האירוע ; זמן_האירוע
4,משקל_הסם,6,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,3,0,9,משקל_הסם ; משקל_כולל_של_הסם ; משקל_כולל_של_סם_שנתפס ; משקל_סם_גולמי ; משקל_סם_מוכן ; משקל_תחליף_הסם
162,סכום העסקה,5,3,Hybrid-Manual|Hybrid-Full|GPT-Free,4,7,0,2,סכום_העסקה ; סכום_העסקאות ; סכום_כספי_לעסקה ; סכום_עסקה ; סכום_עסקה_נוספת
249,מחיר לגרם,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,3,6,0,1,מחיר_לגרם ; מחיר_סם_לגרם
179,זהות_הרוכש,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,2,5,זהות_הרוכש ; זהות_האחר
287,מדינת_היעד,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,3,4,מדינת_היעד ; מדינת_יעד
627,שיטת ההברחה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,4,3,0,1,שיטת_ההברחה ; שיטת_הברחה
557,שיטת פעולה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,2,0,5,שיטת_פעולה ; שיטת_הפעולה
41,אופן_העברת_הסם,5,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,5,אופן_העברת_הסם ; אופן_חלוקת_הסם ; אופן_הכנת_הסם ; אופן_הסלקת_הסם ; אופן_הסתרת_הסם
293,מיקום_העסקה_ראשונה,5,3,Hybrid-Manual|Hybrid-Full|GPT-Free,3,1,0,3,מיקום_העסקה_ראשונה ; מקום_העסקה_הראשונה ; מיקום_העסקה_הראשונה ; מיקום_עסקה_ראשונה ; מקום_העסקה_הראשון
63,מספר רכב הנאשם,6,3,Hybrid-Manual|Hybrid-Full|GPT-Law,3,3,1,0,מספר_רכב_הנאשם ; מספר_הרכב ; מספר_רישוי_הרכב ; מספר_רישוי_של_הרכב ; מספר_רישוי_של_רכב_הנאשם ; מספר_רכב
137,ציוד במעבדה,4,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,3,2,0,ציוד_במעבדה ; ציוד_מעבדה ; ציוד_למעבדה ; ציוד_נוסף_במעבדה
186,תפקיד_הנאשם,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,1,4,תפקיד_הנאשם ; תפקיד_הנאשמת
721,כמות_שתילים,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,2,2,כמות_שתילים ; כמות_שתילים_גדולים
359,מיקום_העסקה_שנייה,5,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,1,0,3,מיקום_העסקה_שנייה ; מיקום_העסקה_השנייה ; מיקום_עסקה_שנייה ; מקום_העסקה_השני ; מקום_העסקה_השנייה
355,מספר לקוחות בסחר,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,2,2,מספר_לקוחות_בסחר ; מספר_לקוחות ; מספר_לקוחות_סחר
243,מקום מגורי הנאשם,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,4,מקום_מגורי_הנאשם ; מקום_מגורי_נאשם_2
213,שיטת_העברת_הסם,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,3,1,2,0,שיטת_העברת_הסם ; שיטת_הסתרת_הסם ; שיטת_הכנת_הסם
988,שימוש_בסוכן_משטרתי,1,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,2,3,שימוש_בסוכן_משטרתי
246,תאריך חזרה לישראל,4,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,3,0,1,תאריך_חזרה_לישראל ; תאריך_יציאה_מישראל ; תאריך_החזרה_לישראל ; תאריך_היציאה_מישראל
1417,תאריכים רלוונטיים,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,3,0,2,תאריכים_רלוונטיים
38,אופן ההחזקה,3,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,2,2,אופן_ההחזקה ; אופן_החזקה ; אופי_ההחזקה
227,כלים להכנת הסם,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,3,0,כלים_להכנת_הסם ; כלים_להכנת_סם ; החזיק_כלים_להכנת_סם
15,סוכן משטרתי,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,2,0,2,סוכן_משטרתי ; סוכן_משטרתי_מעורב ; הפעלת_סוכן_משטרתי
295,מקום החזקת הסמים,4,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,2,1,0,מקום_החזקת_הסמים ; מיקום_החזקת_הסמים ; מיקום_החזקת_הסמים_בעת_תפיסה ; מקום_החזקה_סמים
0,מקומות ביצוע העבירות,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,3,1,1,0,מקומות_ביצוע_העבירות ; מקומות_העבירה ; מקומות_ביצוע_העבירה
125,שיטת הסתרה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,2,1,0,שיטת_הסתרה ; שיטת_הסתרה_או_הונאה
898,אופן_הביצוע,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,2,1,אופן_הביצוע ; אופן_ביצוע
21,אופן_נטילת_החשמל,4,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,2,1,אופן_נטילת_החשמל ; אופן_נטילת_חשמל ; סכום_נטילת_חשמל ; סעיף_נטילת_חשמל
16,גניבת חשמל,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,2,0,1,גניבת_חשמל ; היקף_גניבת_חשמל ; משך_גניבת_החשמל
83,היכרות_מוקדמת_בין_נאשם_לסוכן,4,3,Hybrid-Manual|Hybrid-Full|GPT-Free,2,1,0,1,היכרות_מוקדמת_בין_נאשם_לסוכן ; היכרות_קודמת_בין_הנאשם_לסוכן ; הכרות_מוקדמת_בין_הנאשם_לסוכן ; הכרות_קודמת_בין_הנאשם_לסוכן
59,כמות שקיות קנבוס,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,2,כמות_שקיות_קנבוס ; כמות_קנבוס ; כמות_קנבוס_בסך_הכל_גרם
68,מיקום_המסירה_אישום_1,6,3,Hybrid-Manual|GPT-Law|GPT-Free,2,0,1,1,מיקום_המסירה_אישום_1 ; מיקום_המסירה_אישום_2 ; מקום_המסירה ; מקום_המסירה_אישום_1 ; מקום_המסירה_אישום_2 ; מקום_המסירה_הסופי
1060,מספר חדרים במעבדה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,2,1,1,0,מספר_חדרים_במעבדה ; מספר_החדרים_במעבדה
369,מספר כתבי אישום,1,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,2,מספר_כתבי_אישום
558,מקום_העברת_הסם,1,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,2,1,מקום_העברת_הסם
955,סוכן סמוי,1,3,Hybrid-Full|GPT-Law|GPT-Free,0,2,1,1,סוכן_סמוי
640,שווי גניבת החשמל,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,2,שווי_גניבת_החשמל ; שווי_החשמל_שנגנב
209,אמצעי תקשורת לסחר,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,אמצעי_תקשורת_לסחר ; ניצול_אמצעי_תקשורת_לסחר
250,החזקת נשק,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,החזקת_נשק ; החזקת_נשק_לא_חוקי ; החזקת_נשק_לא_חוקית
152,כמות בעסקה הראשונה,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,כמות_בעסקה_הראשונה ; כמות_גרם_עסקה_ראשונה ; כמות_יחידות_בעסקה_ראשונה
182,כמות_הסמים_שנמכרה,4,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,כמות_הסמים_שנמכרה ; כמות_הסמים_שנתפסה ; כמות_נוספת_של_סמים_שהושלכה ; כמות_סמים_שהושלכה
20,מיקום איומים,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,מיקום_איומים ; מיקום_ביצוע_איומים ; מקום_האיומים
315,מיקום החזקת חשיש לצריכה עצמית,4,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,1,מיקום_החזקת_חשיש_לצריכה_עצמית ; מיקום_החזקת_חשיש_שלא_לצריכה_עצמית ; מיקום_החזקת_סם_לצריכה_עצמית ; מיקום_החשיש_לצריכה_עצמית
448,מיקום הפגישות,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,מיקום_הפגישות ; מקום_הפגישה
313,מספר_דירות,3,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,מספר_דירות ; מספר_דירות_שוכר ; מספר_דירות_ששוכרו
77,מספר מנורות,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,מספר_מנורות ; מספר_מנות
1275,מקום איסוף הסם,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,מקום_איסוף_הסם
199,סכום התמורה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,סכום_התמורה ; סכום_התמורה_המוצעת
56,פעולה_בעת_המעצר,3,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,פעולה_בעת_המעצר ; פעולות_בעת_מעצר ; פעולת_הנאשם_בעת_המעצר
131,תקשורת עם חברת השילוח,2,3,Hybrid-Manual|Hybrid-Full|GPT-Law,1,1,1,0,תקשורת_עם_חברת_השילוח ; קשר_עם_חברת_שילוח
453,שווי_סם_מוכן_להפצה,2,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,שווי_סם_מוכן_להפצה ; שווי_הסם_המוכן_להפצה
174,שימוש בטלפון,3,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,1,שימוש_בטלפון ; שימוש_במספר_טלפון_של_עמית ; שימוש_במספר_טלפון_של_עמית_על_החבילה
191,שינוי_שיטת_מסירה,2,3,Hybrid-Manual|GPT-Law|GPT-Free,1,0,1,1,שינוי_שיטת_מסירה ; שינוי_בשיטת_מסירת_החבילה
400,שנת לידה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,שנת_לידה ; שנת_לידה_של_הנאשם
36,שעות_ביצוע_העבירה,3,3,Hybrid-Full|GPT-Law|GPT-Free,0,1,1,1,שעות_ביצוע_העבירה ; שעת_ביצוע_העבירה ; שעת_העבירה
72,תאריך תפיסת החבילה,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,תאריך_תפיסת_החבילה ; תאריך_יציאת_החבילה
352,תאריך כניסת החבילה לישראל,2,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,תאריך_כניסת_החבילה_לישראל ; תאריך_נכנסת_החבילה_לישראל
390,תאריכים,1,3,Hybrid-Manual|Hybrid-Full|GPT-Free,1,1,0,1,תאריכים
907,מכירה לסוכן,1,2,Hybrid-Manual|Hybrid-Full,68,68,0,0,מכירה_לסוכן
1220,מעבדה,1,2,Hybrid-Manual|Hybrid-Full,68,68,0,0,מעבדה
1059,"סוג הסם, כמות",1,2,Hybrid-Manual|Hybrid-Full,68,68,0,0,"סוג_הסם,_כמות"
690,עבירות נלוות כן/לא,1,2,Hybrid-Manual|Hybrid-Full,68,68,0,0,עבירות_נלוות_כן/לא
933,תפקיד,1,2,Hybrid-Manual|Hybrid-Full,68,68,0,0,תפקיד
513,עבירה_עיקרית,2,2,GPT-Law|GPT-Free,0,0,25,1,עבירה_עיקרית ; עבירות_עיקריות
417,תקופת_ביצוע,1,2,GPT-Law|GPT-Free,0,0,7,14,תקופת_ביצוע
22,האם_הנאשם_פעל_לבד,8,2,GPT-Law|GPT-Free,0,0,19,1,הנאשם_פעל_לבד ; הנאשם_פעל_בתמורה ; הנאשם_פעל_בחשאיות ; הנאשם_פעל_בעצמו_או_באמצעות_אחר ; הנאשם_פעל_בצוותא ; הנאשם_פעל_בצורה_מתוחכמת ; הנאשם_פעל_לבדו ; הנאשם_פעל_עבור_עצמו
71,מספר_מעורבים,4,2,GPT-Law|GPT-Free,0,0,10,7,מספר_מעורבים ; מספר_מעורבים_נוספים ; מספר_המעורבים ; מספר_מעורבים_ידועים
598,מקום ביצוע העבירה,4,2,GPT-Law|GPT-Free,0,0,5,10,מקום_ביצוע_העבירה ; מיקום_ביצוע_העבירה ; מיקום_ביצוע_העבירות ; מקום_ביצוע_העבירות
1266,אופן_ההסלקה,2,2,GPT-Law|GPT-Free,0,0,9,4,אופן_ההסלקה ; אופן_הסלקה
202,האם_החזקה_לצריכה_עצמית,4,2,GPT-Law|GPT-Free,0,0,8,5,החזקה_לצריכה_עצמית ; החזקה_שלא_לצריכה_עצמית ; החזקה_עצמית ; היקף_החזקה_שלא_לצריכה_עצמית
86,האם_הנאשם_פעל_ביחד_עם_אחרים,8,2,GPT-Law|GPT-Free,0,0,12,1,הנאשם_פעל_ביחד_עם_אחרים ; הנאשם_פעל_עם_אחרים ; הנאשם_פעל_בהשפעת_אחר ; הנאשם_פעל_בהנחיית_אחר ; הנאשם_פעל_בהנחיית_אחרים ; הנאשם_פעל_בהשפעת_אחרים ; הנאשם_פעל_יחד_עם_אחרים ; הנאשם_פעל_עבור_אחרים
42,תקופת הפעילות,3,2,Hybrid-Manual|Hybrid-Full,6,7,0,0,תקופת_הפעילות ; תקופת_פעילות ; תקופת_פעילות_המעבדה
688,ציוד שנתפס,1,2,GPT-Law|GPT-Free,0,0,2,10,ציוד_שנתפס
406,שיטת_הסלקה,3,2,GPT-Law|GPT-Free,0,0,6,5,שיטת_הסלקה ; שיטת_ההסלקה ; שיטת_הסלקה_מתוחכמת
236,שיתוף פעולה,3,2,Hybrid-Full|GPT-Free,0,9,0,2,שיתוף_פעולה ; שיתוף_פעולה_עם_אחרים ; שיתוף_פעולה_עם_אחר
73,תמורה_כספית,5,2,GPT-Law|GPT-Free,0,0,7,4,תמורה_כספית ; תמורה_בכסף ; תמורה_בכסף_שקל ; תמורה_בכסף_שקלים ; תמורה_כספית_כוללת_שקלים
999,מקור הסם,1,2,Hybrid-Manual|Hybrid-Full,5,5,0,0,מקור_הסם
350,סוגי סמים נוספים,2,2,Hybrid-Manual|Hybrid-Full,8,2,0,0,סוגי_סמים_נוספים ; סוגי_סמים_נוספים_שנתפסו
124,שווי_הסם_בשקלים,4,2,GPT-Law|GPT-Free,0,0,7,3,שווי_הסם_בשקלים ; שווי_הסם_שקלים ; שווי_הסם_בשקלים_לקג ; שווי_הסם_העיקרי_בשקלים
280,תמורה_כספית_אישום_1,11,2,GPT-Law|GPT-Free,0,0,7,3,תמורה_כספית_אישום_1 ; תמורה_כספית_אישום_2 ; תמורה_כספית_אישום_3 ; תמורה_בכסף_אישום_ראשון ; תמורה_בכסף_אישום_שני ; תמורה_כספית_אישום1 ; תמורה_כספית_אישום2 ; תמורה_כספית_אישום_4 ; תמורה_כספית_אישום_7 ; תמורה_כספית_אישום_שני ; תמורה_כספית_באישום_2_שקלים
718,תקופת ביצוע העבירות,2,2,GPT-Law|GPT-Free,0,0,3,7,תקופת_ביצוע_העבירות ; תקופת_ביצוע_העבירה
29,מספר טלפון הנאשם,7,2,Hybrid-Manual|Hybrid-Full,5,4,0,0,מספר_טלפון_הנאשם ; מספר_הטלפון_הנייד ; מספר_טלפון_נייד_של_הנאשם ; מספר_טלפונים_ניידים ; מספר_טלפונים_ניידים_שבשימוש_הנאשם ; מספר_טלפונים_ניידים_של_הנאשם ; מספר_טלפונים_ניידים_שנתפסו
247,מקום המפגש,3,2,Hybrid-Manual|Hybrid-Full,4,5,0,0,מקום_המפגש ; מקום_המפגש_השני ; מקום_המפגשים
3,זמן העבירה,4,2,Hybrid-Manual|Hybrid-Full,3,5,0,0,זמן_העבירה ; זמן_העבירה_האחרונה ; זמן_העבירה_השנייה ; זמן_העבירות
1058,ארץ_מוצא,1,2,GPT-Law|GPT-Free,0,0,6,1,ארץ_מוצא
244,מדינת_מוצא,2,2,GPT-Law|GPT-Free,0,0,3,4,מדינת_מוצא ; מדינת_המוצא
756,מועד_העבירה,4,2,GPT-Law|GPT-Free,0,0,3,4,מועד_העבירה ; מועד_ביצוע_העבירה ; מועד_ביצוע_העבירות ; מועד_העבירות
449,פרטי הציוד במעבדה,3,2,Hybrid-Manual|Hybrid-Full,3,4,0,0,פרטי_הציוד_במעבדה ; פרטי_ציוד_במעבדה ; פרטי_הציוד
592,היכרות_מוקדמת_בין_הנאשמים,4,2,GPT-Law|GPT-Free,0,0,3,3,היכרות_מוקדמת_בין_הנאשמים ; היכרות_מוקדמת_בין_המעורבים ; היכרות_מוקדמת_בין_הנאשמת_לשותפים ; היכרות_מוקדמת_בין_נאשמים
1098,מספר_אירועים,1,2,GPT-Law|GPT-Free,0,0,3,3,מספר_אירועים
669,צורת_הסם,1,2,GPT-Law|GPT-Free,0,0,4,2,צורת_הסם
201,קשר בין הנאשמים,2,2,GPT-Law|GPT-Free,0,0,2,4,קשר_בין_הנאשמים ; קשר_בין_הנאשמת_למעורבים
232,קשר_בין_המעורבים,2,2,GPT-Law|GPT-Free,0,0,3,2,קשר_בין_המעורבים ; אופי_הקשר_בין_המעורבים
1412,האם_בוצע_בצוותא,1,2,GPT-Law|GPT-Free,0,0,3,2,בוצע_בצוותא
286,האם_היה_היתר,2,2,GPT-Law|GPT-Free,0,0,3,2,היה_היתר ; יש_היתר
61,כמות_הסם_בכל_עסקה,5,2,Hybrid-Full|GPT-Free,0,1,0,4,כמות_הסם_בכל_עסקה ; כמות_הסם_בעסקאות ; כמות_הסם_בעסקה ; כמות_יחידות_בעסקה_שניה ; כמות_סם_בעסקה_נוספת
13,כמות כסף,4,2,Hybrid-Manual|Hybrid-Full,3,2,0,0,כמות_כסף ; כמות_כסף_מזומן ; כמות_כסף_מזומן_שנתפסה ; כמות_כסף_ששולמה
377,מדינה_אליה_יובא,5,2,GPT-Law|GPT-Free,0,0,4,1,מדינה_אליה_יובא ; מדינה_ממנה_יובא ; מדינה_ממנה_יובא_הסם ; מדינה_אליה_יובא_הסם ; מדינה_שממנה_יובא
444,מניע,1,2,GPT-Law|GPT-Free,0,0,4,1,מניע
465,מקור הסמים,1,2,Hybrid-Manual|Hybrid-Full,3,2,0,0,מקור_הסמים
278,סוג_העבירה_העיקרית,2,2,GPT-Law|GPT-Free,0,0,1,4,סוג_העבירה_העיקרית ; סוג_עבירה_עיקרית
288,שיטת הסתרת הסמים,2,2,Hybrid-Manual|Hybrid-Full,3,2,0,0,שיטת_הסתרת_הסמים ; שיטת_העברת_הסמים
428,שיטת תשלום,1,2,Hybrid-Manual|Hybrid-Full,2,3,0,0,שיטת_תשלום
25,תאריך תפיסת הסם,2,2,Hybrid-Manual|Hybrid-Full,2,3,0,0,תאריך_תפיסת_הסם ; תאריך_תפיסת_הסמים
58,אופן_ההעברה,2,2,GPT-Law|GPT-Free,0,0,2,2,אופן_ההעברה ; אופן_העברת_החבילה
120,אופן_התקשרות,2,2,GPT-Law|GPT-Free,0,0,1,3,אופן_התקשרות ; אופן_התקשרות_באישום_1
846,אמצעי_הסלקה,1,2,GPT-Law|GPT-Free,0,0,2,2,אמצעי_הסלקה
