domain,rep,model,task,F1,Precision,Recall,F1_CV,Precision_CV,Recall_CV,AP_PR
drugs,GPT-Schema,qwen3_vl_235b_or,0,0.8095238095238095,0.6938775510204082,0.9714285714285714,0.7848101265822784,0.7045454545454546,0.8857142857142857,0.8888210867473539
drugs,GPT-Schema,qwen3_vl_235b_or,1,0.8484848484848485,0.8571428571428571,0.84,0.8316831683168316,0.8235294117647058,0.84,0.898722646517663
drugs,GPT-Free,gpt4,0,0.8831168831168831,0.8095238095238095,0.9714285714285714,0.8533333333333334,0.8,0.9142857142857143,0.921114673641232
drugs,GPT-Free,gpt4,1,0.8043478260869565,0.8809523809523809,0.74,0.7526881720430108,0.813953488372093,0.7,0.877646870923026
drugs,GPT-Free,gpt5mini,0,0.8947368421052632,0.8292682926829268,0.9714285714285714,0.88,0.825,0.9428571428571428,0.9413073750737613
drugs,GPT-Free,gpt5mini,1,0.8461538461538461,0.8148148148148148,0.88,0.8235294117647058,0.8076923076923077,0.84,0.9052155939129003
drugs,GPT-Free,gpt52,0,0.8767123287671232,0.8421052631578947,0.9142857142857143,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.9236137113580722
drugs,GPT-Free,gpt52,1,0.8163265306122449,0.8333333333333334,0.8,0.78,0.78,0.78,0.8903635484483227
drugs,GPT-Free,gpt51_thinking,0,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.930116118784219
drugs,GPT-Free,gpt51_thinking,1,0.8155339805825242,0.7924528301886793,0.84,0.7647058823529411,0.75,0.78,0.8928886025522389
drugs,GPT-Free,claude_sonnet_4_6,0,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8,0.8,0.8,0.8952351568959163
drugs,GPT-Free,claude_sonnet_4_6,1,0.8163265306122449,0.8333333333333334,0.8,0.7647058823529411,0.75,0.78,0.8697760987157943
drugs,GPT-Free,gemini_25_pro,0,0.8695652173913043,0.8823529411764706,0.8571428571428571,0.8450704225352113,0.8333333333333334,0.8571428571428571,0.8631828811148056
drugs,GPT-Free,gemini_25_pro,1,0.8125,0.8478260869565217,0.78,0.8041237113402062,0.8297872340425532,0.78,0.8410689413025012
drugs,GPT-Free,gemini_3_flash,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8899125847618311
drugs,GPT-Free,gemini_3_flash,1,0.8041237113402062,0.8297872340425532,0.78,0.76,0.76,0.76,0.8650795543063807
drugs,GPT-Free,gemma3_27b,0,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.9033296103198524
drugs,GPT-Free,gemma3_27b,1,0.8035714285714286,0.7258064516129032,0.9,0.7818181818181819,0.7166666666666667,0.86,0.868869693377581
drugs,GPT-Free,gemma4_31b_or,0,0.9041095890410958,0.868421052631579,0.9428571428571428,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8684515823982518
drugs,GPT-Free,gemma4_31b_or,1,0.8247422680412371,0.851063829787234,0.8,0.7547169811320755,0.7142857142857143,0.8,0.8660792699285359
drugs,GPT-Free,llama3_70b,0,0.8421052631578947,0.7804878048780488,0.9142857142857143,0.8051948051948052,0.7380952380952381,0.8857142857142857,0.8966999848412284
drugs,GPT-Free,llama3_70b,1,0.7789473684210526,0.8222222222222222,0.74,0.7659574468085106,0.8181818181818182,0.72,0.8431391609735621
drugs,GPT-Free,qwen3_vl_235b_or,0,0.8533333333333334,0.8,0.9142857142857143,0.8533333333333334,0.8,0.9142857142857143,0.9132322083293805
drugs,GPT-Free,qwen3_vl_235b_or,1,0.7835051546391752,0.8085106382978723,0.76,0.7578947368421053,0.8,0.72,0.8655801359262554
drugs,GPT-Law,gpt4,0,0.8918918918918919,0.8461538461538461,0.9428571428571428,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.9151709981834206
drugs,GPT-Law,gpt4,1,0.7956989247311828,0.8604651162790697,0.74,0.7659574468085106,0.8181818181818182,0.72,0.8755636237782793
drugs,GPT-Law,gpt5mini,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.9145230287960111
drugs,GPT-Law,gpt5mini,1,0.7865168539325843,0.8974358974358975,0.7,0.7472527472527473,0.8292682926829268,0.68,0.8603842081755895
drugs,GPT-Law,gpt52,0,0.8767123287671232,0.8421052631578947,0.9142857142857143,0.8405797101449275,0.8529411764705882,0.8285714285714286,0.9075817481512096
drugs,GPT-Law,gpt52,1,0.8,0.9,0.72,0.7608695652173914,0.8333333333333334,0.7,0.8672739048442251
drugs,GPT-Law,gpt51_thinking,0,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.9027442356850957
drugs,GPT-Law,gpt51_thinking,1,0.8172043010752689,0.8837209302325582,0.76,0.7659574468085106,0.8181818181818182,0.72,0.8709927277904561
drugs,GPT-Law,claude_sonnet_4_6,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.9282365442834037
drugs,GPT-Law,claude_sonnet_4_6,1,0.8131868131868132,0.9024390243902439,0.74,0.7741935483870968,0.8372093023255814,0.72,0.8902694733550581
drugs,GPT-Law,gemini_25_pro,0,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.8266666666666667,0.775,0.8857142857142857,0.8675986905974079
drugs,GPT-Law,gemini_25_pro,1,0.8043478260869565,0.8809523809523809,0.74,0.7727272727272727,0.8947368421052632,0.68,0.845829877609513
drugs,GPT-Law,gemini_3_flash,0,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.8493150684931506,0.8157894736842105,0.8857142857142857,0.8666134784806622
drugs,GPT-Law,gemini_3_flash,1,0.8041237113402062,0.8297872340425532,0.78,0.7628865979381443,0.7872340425531915,0.74,0.8488505460218602
drugs,GPT-Law,gemma3_27b,0,0.8148148148148148,0.717391304347826,0.9428571428571428,0.8048780487804879,0.7021276595744681,0.9428571428571428,0.8738782660699254
drugs,GPT-Law,gemma3_27b,1,0.7878787878787878,0.7959183673469388,0.78,0.7454545454545455,0.6833333333333333,0.82,0.8449807930293701
drugs,GPT-Law,gemma4_31b_or,0,0.8918918918918919,0.8461538461538461,0.9428571428571428,0.8918918918918919,0.8461538461538461,0.9428571428571428,0.8537150910260154
drugs,GPT-Law,gemma4_31b_or,1,0.8222222222222222,0.925,0.74,0.7956989247311828,0.8604651162790697,0.74,0.8468357980857981
drugs,GPT-Law,llama3_70b,0,0.8059701492537313,0.84375,0.7714285714285715,0.7878787878787878,0.8387096774193549,0.7428571428571429,0.87470454867194
drugs,GPT-Law,llama3_70b,1,0.7678571428571429,0.6935483870967742,0.86,0.7567567567567568,0.6885245901639344,0.84,0.8575764902233483
drugs,GPT-Law,qwen3_vl_235b_or,0,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.8829332587324058
drugs,GPT-Law,qwen3_vl_235b_or,1,0.7835051546391752,0.8085106382978723,0.76,0.7522935779816514,0.6949152542372882,0.82,0.8640474062807952
drugs,Raw-Facts,gpt4,0,0.8767123287671232,0.8421052631578947,0.9142857142857143,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.8860496964518647
drugs,Raw-Facts,gpt4,1,0.8,0.8,0.8,0.7628865979381443,0.7872340425531915,0.74,0.868547434547384
drugs,Raw-Facts,gpt5mini,0,0.9090909090909091,0.967741935483871,0.8571428571428571,0.8656716417910447,0.90625,0.8285714285714286,0.95843663805578
drugs,Raw-Facts,gpt5mini,1,0.7906976744186046,0.9444444444444444,0.68,0.7526881720430108,0.813953488372093,0.7,0.8867759359561036
drugs,Raw-Facts,gpt52,0,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8378378378378378,0.7948717948717948,0.8857142857142857,0.9256306963136232
drugs,Raw-Facts,gpt52,1,0.8351648351648352,0.926829268292683,0.76,0.7872340425531915,0.8409090909090909,0.74,0.8936881396832617
drugs,Raw-Facts,gpt51_thinking,0,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.9216325295255404
drugs,Raw-Facts,gpt51_thinking,1,0.8260869565217391,0.9047619047619048,0.76,0.7956989247311828,0.8604651162790697,0.74,0.8801445945199855
drugs,Raw-Facts,claude_sonnet_4_6,0,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.8157894736842105,0.7560975609756098,0.8857142857142857,0.9113787265521539
drugs,Raw-Facts,claude_sonnet_4_6,1,0.8421052631578947,0.8888888888888888,0.8,0.8260869565217391,0.9047619047619048,0.76,0.8891211643806751
drugs,Raw-Facts,gemini_25_pro,0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8450704225352113,0.8333333333333334,0.8571428571428571,0.8891657154704136
drugs,Raw-Facts,gemini_25_pro,1,0.7954545454545454,0.9210526315789473,0.7,0.7954545454545454,0.9210526315789473,0.7,0.8469978500033256
drugs,Raw-Facts,gemini_3_flash,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8936727063435137
drugs,Raw-Facts,gemini_3_flash,1,0.8247422680412371,0.851063829787234,0.8,0.7956989247311828,0.8604651162790697,0.74,0.8799124519810768
drugs,Raw-Facts,gemma3_27b,0,0.8292682926829268,0.723404255319149,0.9714285714285714,0.7894736842105263,0.7317073170731707,0.8571428571428571,0.8821982745387
drugs,Raw-Facts,gemma3_27b,1,0.8148148148148148,0.7586206896551724,0.88,0.8,0.7636363636363637,0.84,0.8639446939003678
drugs,Raw-Facts,gemma4_31b_or,0,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8266666666666667,0.775,0.8857142857142857,0.888460378061707
drugs,Raw-Facts,gemma4_31b_or,1,0.8297872340425532,0.8863636363636364,0.78,0.8172043010752689,0.8837209302325582,0.76,0.8610709623736121
drugs,Raw-Facts,llama3_70b,0,0.8533333333333334,0.8,0.9142857142857143,0.8157894736842105,0.7560975609756098,0.8857142857142857,0.8708907199057807
drugs,Raw-Facts,llama3_70b,1,0.7835051546391752,0.8085106382978723,0.76,0.7578947368421053,0.8,0.72,0.8229220973258601
drugs,Raw-Facts,qwen3_vl_235b_or,0,0.8611111111111112,0.8378378378378378,0.8857142857142857,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.9051313502101679
drugs,Raw-Facts,qwen3_vl_235b_or,1,0.8172043010752689,0.8837209302325582,0.76,0.8043478260869565,0.8809523809523809,0.74,0.8611770425975539
drugs,Hybrid-Manual,gpt4,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8767123287671232,0.8421052631578947,0.9142857142857143,0.9520180434708833
drugs,Hybrid-Manual,gpt4,1,0.8367346938775511,0.8541666666666666,0.82,0.803921568627451,0.7884615384615384,0.82,0.91860246986051
drugs,Hybrid-Manual,gpt5mini,0,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.9459488116429433
drugs,Hybrid-Manual,gpt5mini,1,0.8387096774193549,0.9069767441860465,0.78,0.8125,0.8478260869565217,0.78,0.91540061977951
drugs,Hybrid-Manual,gpt52,0,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8333333333333334,0.8108108108108109,0.8571428571428571,0.9479896242191326
drugs,Hybrid-Manual,gpt52,1,0.8351648351648352,0.926829268292683,0.76,0.8131868131868132,0.9024390243902439,0.74,0.9134104693507119
drugs,Hybrid-Manual,gpt51_thinking,0,0.8985507246376812,0.9117647058823529,0.8857142857142857,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.9440024953103056
drugs,Hybrid-Manual,gpt51_thinking,1,0.82,0.82,0.82,0.7708333333333334,0.8043478260869565,0.74,0.8970058044732779
drugs,Hybrid-Manual,claude_sonnet_4_6,0,0.9041095890410958,0.868421052631579,0.9428571428571428,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9635395788766283
drugs,Hybrid-Manual,claude_sonnet_4_6,1,0.8163265306122449,0.8333333333333334,0.8,0.7572815533980582,0.7358490566037735,0.78,0.9120831300898344
drugs,Hybrid-Manual,gemini_25_pro,0,0.88,0.825,0.9428571428571428,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.8982796480874744
drugs,Hybrid-Manual,gemini_25_pro,1,0.8041237113402062,0.8297872340425532,0.78,0.7551020408163265,0.7708333333333334,0.74,0.8922795424912511
drugs,Hybrid-Manual,gemini_3_flash,0,0.8695652173913043,0.8823529411764706,0.8571428571428571,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.9270964981932465
drugs,Hybrid-Manual,gemini_3_flash,1,0.8421052631578947,0.8888888888888888,0.8,0.8297872340425532,0.8863636363636364,0.78,0.8992022775736601
drugs,Hybrid-Manual,gemma3_27b,0,0.88,0.825,0.9428571428571428,0.88,0.825,0.9428571428571428,0.9242504409171075
drugs,Hybrid-Manual,gemma3_27b,1,0.8118811881188119,0.803921568627451,0.82,0.7708333333333334,0.8043478260869565,0.74,0.8801906683123407
drugs,Hybrid-Manual,gemma4_31b_or,0,0.9041095890410958,0.868421052631579,0.9428571428571428,0.9041095890410958,0.868421052631579,0.9428571428571428,0.9280272251298955
drugs,Hybrid-Manual,gemma4_31b_or,1,0.8367346938775511,0.8541666666666666,0.82,0.8085106382978723,0.8636363636363636,0.76,0.9008704205839458
drugs,Hybrid-Manual,llama3_70b,0,0.868421052631579,0.8048780487804879,0.9428571428571428,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.9253240458271973
drugs,Hybrid-Manual,llama3_70b,1,0.7872340425531915,0.8409090909090909,0.74,0.7741935483870968,0.8372093023255814,0.72,0.8593245315427285
drugs,Hybrid-Manual,qwen3_vl_235b_or,0,0.8461538461538461,0.7674418604651163,0.9428571428571428,0.8378378378378378,0.7948717948717948,0.8857142857142857,0.8700261582364264
drugs,Hybrid-Manual,qwen3_vl_235b_or,1,0.8085106382978723,0.8636363636363636,0.76,0.7676767676767676,0.7755102040816326,0.76,0.8551473718019758
drugs,Hybrid-Full,gpt4,0,0.8947368421052632,0.8292682926829268,0.9714285714285714,0.8947368421052632,0.8292682926829268,0.9714285714285714,0.9328112462478676
drugs,Hybrid-Full,gpt4,1,0.8478260869565217,0.9285714285714286,0.78,0.8351648351648352,0.926829268292683,0.76,0.8945168418239446
drugs,Hybrid-Full,gpt5mini,0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8695652173913043,0.8823529411764706,0.8571428571428571,0.9100714923056273
drugs,Hybrid-Full,gpt5mini,1,0.8148148148148148,0.7586206896551724,0.88,0.7647058823529411,0.75,0.78,0.8763956112438891
drugs,Hybrid-Full,gpt52,0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9366183627317693
drugs,Hybrid-Full,gpt52,1,0.8125,0.8478260869565217,0.78,0.7878787878787878,0.7959183673469388,0.78,0.8839227547982379
drugs,Hybrid-Full,gpt51_thinking,0,0.8831168831168831,0.8095238095238095,0.9714285714285714,0.868421052631579,0.8048780487804879,0.9428571428571428,0.9139034431767168
drugs,Hybrid-Full,gpt51_thinking,1,0.845360824742268,0.8723404255319149,0.82,0.8210526315789474,0.8666666666666667,0.78,0.8797237716036983
drugs,Hybrid-Full,claude_sonnet_4_6,0,0.9295774647887324,0.9166666666666666,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9516855140566431
drugs,Hybrid-Full,claude_sonnet_4_6,1,0.8155339805825242,0.7924528301886793,0.84,0.7835051546391752,0.8085106382978723,0.76,0.8912479821444969
drugs,Hybrid-Full,gemini_25_pro,0,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.8378378378378378,0.7948717948717948,0.8857142857142857,0.8806173635006525
drugs,Hybrid-Full,gemini_25_pro,1,0.8172043010752689,0.8837209302325582,0.76,0.7959183673469388,0.8125,0.78,0.8617135720057097
drugs,Hybrid-Full,gemini_3_flash,0,0.8648648648648649,0.8205128205128205,0.9142857142857143,0.8311688311688312,0.7619047619047619,0.9142857142857143,0.9312488239561674
drugs,Hybrid-Full,gemini_3_flash,1,0.82,0.82,0.82,0.7959183673469388,0.8125,0.78,0.8945172613000492
drugs,Hybrid-Full,gemma3_27b,0,0.9066666666666666,0.85,0.9714285714285714,0.9066666666666666,0.85,0.9714285714285714,0.9092307692307693
drugs,Hybrid-Full,gemma3_27b,1,0.8235294117647058,0.8076923076923077,0.84,0.8,0.8,0.8,0.8723631314554338
drugs,Hybrid-Full,gemma4_31b_or,0,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.8533333333333334,0.8,0.9142857142857143,0.8977660016695455
drugs,Hybrid-Full,gemma4_31b_or,1,0.8282828282828283,0.8367346938775511,0.82,0.7735849056603774,0.7321428571428571,0.82,0.8637163304792278
drugs,Hybrid-Full,llama3_70b,0,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.8333333333333334,0.8108108108108109,0.8571428571428571,0.9356616492355033
drugs,Hybrid-Full,llama3_70b,1,0.8,0.9,0.72,0.7727272727272727,0.8947368421052632,0.68,0.8834981387816239
drugs,Hybrid-Full,qwen3_vl_235b_or,0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9258664522222092
drugs,Hybrid-Full,qwen3_vl_235b_or,1,0.8076923076923077,0.7777777777777778,0.84,0.7567567567567568,0.6885245901639344,0.84,0.8776366841894876
weapon,Manual,gpt4,0,0.7920792079207921,0.7272727272727273,0.8695652173913043,0.7659574468085106,0.75,0.782608695652174,0.8502524776509435
weapon,Manual,gpt4,1,0.8527131782945736,0.859375,0.8461538461538461,0.8253968253968254,0.8524590163934426,0.8,0.9303205854291109
weapon,Manual,gpt5mini,0,0.8631578947368421,0.8367346938775511,0.8913043478260869,0.8631578947368421,0.8367346938775511,0.8913043478260869,0.8981750655145195
weapon,Manual,gpt5mini,1,0.8529411764705882,0.8169014084507042,0.8923076923076924,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9239597243447131
weapon,Manual,gpt52,0,0.7636363636363637,0.65625,0.9130434782608695,0.7450980392156863,0.6785714285714286,0.8260869565217391,0.8512103109696861
weapon,Manual,gpt52,1,0.8484848484848485,0.835820895522388,0.8615384615384616,0.8484848484848485,0.835820895522388,0.8615384615384616,0.9056291622477791
weapon,Manual,gpt51_thinking,0,0.8247422680412371,0.7843137254901961,0.8695652173913043,0.7872340425531915,0.7708333333333334,0.8043478260869565,0.8700001836359909
weapon,Manual,gpt51_thinking,1,0.8617886178861789,0.9137931034482759,0.8153846153846154,0.8095238095238095,0.8360655737704918,0.7846153846153846,0.9319496793375481
weapon,Manual,claude_sonnet_4_6,0,0.7818181818181819,0.671875,0.9347826086956522,0.7474747474747475,0.6981132075471698,0.8043478260869565,0.8597582550299941
weapon,Manual,claude_sonnet_4_6,1,0.8682170542635659,0.875,0.8615384615384616,0.8682170542635659,0.875,0.8615384615384616,0.9386392746999166
weapon,Manual,gemini_25_pro,0,0.7524752475247525,0.6909090909090909,0.8260869565217391,0.7272727272727273,0.625,0.8695652173913043,0.7967737909465265
weapon,Manual,gemini_25_pro,1,0.8382352941176471,0.8028169014084507,0.8769230769230769,0.8285714285714286,0.7733333333333333,0.8923076923076924,0.8900416130690816
weapon,Manual,gemini_3_flash,0,0.8085106382978723,0.7916666666666666,0.8260869565217391,0.7916666666666666,0.76,0.8260869565217391,0.8704152523423511
weapon,Manual,gemini_3_flash,1,0.8503937007874016,0.8709677419354839,0.8307692307692308,0.8235294117647058,0.7887323943661971,0.8615384615384616,0.9122508516513566
weapon,Manual,gemma3_27b,0,0.6857142857142857,0.6101694915254238,0.782608695652174,0.6271186440677966,0.5138888888888888,0.8043478260869565,0.68657404212615
weapon,Manual,gemma3_27b,1,0.8053691275167785,0.7142857142857143,0.9230769230769231,0.8053691275167785,0.7142857142857143,0.9230769230769231,0.79716181766494
weapon,Manual,gemma4_31b_or,0,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.864110023927802
weapon,Manual,gemma4_31b_or,1,0.8682170542635659,0.875,0.8615384615384616,0.8503937007874016,0.8709677419354839,0.8307692307692308,0.9241438789409469
weapon,Manual,llama3_70b,0,0.7407407407407407,0.6451612903225806,0.8695652173913043,0.7407407407407407,0.6451612903225806,0.8695652173913043,0.7264547755534664
weapon,Manual,llama3_70b,1,0.8142857142857143,0.76,0.8769230769230769,0.8057553956834532,0.7567567567567568,0.8615384615384616,0.8130193249134985
weapon,Manual,qwen3_vl_235b_or,0,0.813953488372093,0.875,0.7608695652173914,0.8,0.8717948717948718,0.7391304347826086,0.8234458977281356
weapon,Manual,qwen3_vl_235b_or,1,0.8421052631578947,0.8235294117647058,0.8615384615384616,0.8125,0.8253968253968254,0.8,0.9090438767231452
weapon,GPT-Schema,gpt4,0,0.7777777777777778,0.7954545454545454,0.7608695652173914,0.75,0.7857142857142857,0.717391304347826,0.8533154356453974
weapon,GPT-Schema,gpt4,1,0.7933884297520661,0.8571428571428571,0.7384615384615385,0.7575757575757576,0.746268656716418,0.7692307692307693,0.9026253269661781
weapon,GPT-Schema,gpt5mini,0,0.8,0.7755102040816326,0.8260869565217391,0.8,0.7755102040816326,0.8260869565217391,0.8449806435204036
